time,swe,year,water_year
1958-09-16,0.0,1959,1959
1958-09-17,0.0,1959,1959
1958-09-18,0.0,1959,1959
1958-09-19,0.0,1959,1959
1958-09-20,0.0,1959,1959
1958-09-21,0.0,1959,1959
1958-09-22,0.0,1959,1959
1958-09-23,0.0,1959,1959
1958-09-24,0.0,1959,1959
1958-09-25,0.0,1959,1959
1958-09-26,0.0,1959,1959
1958-09-27,0.0,1959,1959
1958-09-28,0.0,1959,1959
1958-09-29,0.0,1959,1959
1958-09-30,0.0,1959,1959
1958-10-01,0.0,1959,1959
1958-10-02,0.0,1959,1959
1958-10-03,0.0,1959,1959
1958-10-04,0.0,1959,1959
1958-10-05,0.0,1959,1959
1958-10-06,0.0,1959,1959
1958-10-07,0.0,1959,1959
1958-10-08,0.0,1959,1959
1958-10-09,0.0,1959,1959
1958-10-10,0.0,1959,1959
1958-10-11,0.0,1959,1959
1958-10-12,0.0,1959,1959
1958-10-13,0.0,1959,1959
1958-10-14,0.0,1959,1959
1958-10-15,0.0,1959,1959
1958-10-16,0.0,1959,1959
1958-10-17,0.0,1959,1959
1958-10-18,0.0,1959,1959
1958-10-19,0.0,1959,1959
1958-10-20,0.0,1959,1959
1958-10-21,0.0,1959,1959
1958-10-22,0.0,1959,1959
1958-10-23,0.0,1959,1959
1958-10-24,0.0,1959,1959
1958-10-25,0.0,1959,1959
1958-10-26,0.0,1959,1959
1958-10-27,0.0,1959,1959
1958-10-28,0.0,1959,1959
1958-10-29,0.0,1959,1959
1958-10-30,0.0,1959,1959
1958-10-31,0.0,1959,1959
1958-11-01,0.0,1959,1959
1958-11-02,0.0,1959,1959
1958-11-03,0.0,1959,1959
1958-11-04,0.0,1959,1959
1958-11-05,0.0,1959,1959
1958-11-06,0.0,1959,1959
1958-11-07,0.0,1959,1959
1958-11-08,0.0,1959,1959
1958-11-09,0.0,1959,1959
1958-11-10,0.0,1959,1959
1958-11-11,0.0,1959,1959
1958-11-12,0.0,1959,1959
1958-11-13,0.0,1959,1959
1958-11-14,0.0,1959,1959
1958-11-15,0.0,1959,1959
1958-11-16,0.0,1959,1959
1958-11-17,0.0,1959,1959
1958-11-18,0.0,1959,1959
1958-11-19,0.0,1959,1959
1958-11-20,0.0,1959,1959
1958-11-21,0.0,1959,1959
1958-11-22,0.0,1959,1959
1958-11-23,0.0,1959,1959
1958-11-24,0.0,1959,1959
1958-11-25,0.0,1959,1959
1958-11-26,0.0,1959,1959
1958-11-27,5.5,1959,1959
1958-11-28,3.3,1959,1959
1958-11-29,2.1000001,1959,1959
1958-11-30,3.7,1959,1959
1958-12-01,3.8,1959,1959
1958-12-02,5.4,1959,1959
1958-12-03,8.0,1959,1959
1958-12-04,5.1,1959,1959
1958-12-05,25.0,1959,1959
1958-12-06,31.0,1959,1959
1958-12-07,31.0,1959,1959
1958-12-08,32.9,1959,1959
1958-12-09,32.9,1959,1959
1958-12-10,35.3,1959,1959
1958-12-11,35.3,1959,1959
1958-12-12,35.3,1959,1959
1958-12-13,35.3,1959,1959
1958-12-14,35.5,1959,1959
1958-12-15,35.7,1959,1959
1958-12-16,35.7,1959,1959
1958-12-17,35.9,1959,1959
1958-12-18,41.600002,1959,1959
1958-12-19,41.600002,1959,1959
1958-12-20,41.600002,1959,1959
1958-12-21,41.8,1959,1959
1958-12-22,41.8,1959,1959
1958-12-23,41.8,1959,1959
1958-12-24,41.8,1959,1959
1958-12-25,41.8,1959,1959
1958-12-26,41.8,1959,1959
1958-12-27,41.8,1959,1959
1958-12-28,41.8,1959,1959
1958-12-29,42.4,1959,1959
1958-12-30,46.600002,1959,1959
1958-12-31,51.4,1959,1959
1959-01-01,54.9,1959,1959
1959-01-02,56.0,1959,1959
1959-01-03,67.0,1959,1959
1959-01-04,68.9,1959,1959
1959-01-05,68.9,1959,1959
1959-01-06,68.9,1959,1959
1959-01-07,68.9,1959,1959
1959-01-08,68.9,1959,1959
1959-01-09,68.9,1959,1959
1959-01-10,68.9,1959,1959
1959-01-11,77.0,1959,1959
1959-01-12,81.8,1959,1959
1959-01-13,82.0,1959,1959
1959-01-14,82.0,1959,1959
1959-01-15,82.0,1959,1959
1959-01-16,82.0,1959,1959
1959-01-17,86.6,1959,1959
1959-01-18,86.6,1959,1959
1959-01-19,86.6,1959,1959
1959-01-20,90.3,1959,1959
1959-01-21,95.8,1959,1959
1959-01-22,96.200005,1959,1959
1959-01-23,96.4,1959,1959
1959-01-24,100.3,1959,1959
1959-01-25,100.700005,1959,1959
1959-01-26,100.700005,1959,1959
1959-01-27,100.700005,1959,1959
1959-01-28,100.700005,1959,1959
1959-01-29,100.700005,1959,1959
1959-01-30,100.700005,1959,1959
1959-01-31,100.9,1959,1959
1959-02-01,100.9,1959,1959
1959-02-02,100.9,1959,1959
1959-02-03,100.9,1959,1959
1959-02-04,100.9,1959,1959
1959-02-05,100.9,1959,1959
1959-02-06,100.9,1959,1959
1959-02-07,100.9,1959,1959
1959-02-08,100.9,1959,1959
1959-02-09,100.9,1959,1959
1959-02-10,100.9,1959,1959
1959-02-11,100.9,1959,1959
1959-02-12,100.9,1959,1959
1959-02-13,100.9,1959,1959
1959-02-14,100.9,1959,1959
1959-02-15,102.8,1959,1959
1959-02-16,102.8,1959,1959
1959-02-17,102.8,1959,1959
1959-02-18,102.8,1959,1959
1959-02-19,95.9,1959,1959
1959-02-20,90.700005,1959,1959
1959-02-21,96.8,1959,1959
1959-02-22,99.8,1959,1959
1959-02-23,99.9,1959,1959
1959-02-24,106.5,1959,1959
1959-02-25,106.4,1959,1959
1959-02-26,104.1,1959,1959
1959-02-27,94.0,1959,1959
1959-02-28,86.1,1959,1959
1959-03-01,75.6,1959,1959
1959-03-02,69.700005,1959,1959
1959-03-03,61.7,1959,1959
1959-03-04,50.600002,1959,1959
1959-03-05,40.5,1959,1959
1959-03-06,30.7,1959,1959
1959-03-07,23.800001,1959,1959
1959-03-08,27.6,1959,1959
1959-03-09,27.6,1959,1959
1959-03-10,27.7,1959,1959
1959-03-11,27.6,1959,1959
1959-03-12,27.6,1959,1959
1959-03-13,27.6,1959,1959
1959-03-14,27.6,1959,1959
1959-03-15,27.6,1959,1959
1959-03-16,27.6,1959,1959
1959-03-17,27.6,1959,1959
1959-03-18,25.800001,1959,1959
1959-03-19,25.9,1959,1959
1959-03-20,25.800001,1959,1959
1959-03-21,25.800001,1959,1959
1959-03-22,25.800001,1959,1959
1959-03-23,26.0,1959,1959
1959-03-24,20.2,1959,1959
1959-03-25,17.6,1959,1959
1959-03-26,15.0,1959,1959
1959-03-27,11.0,1959,1959
1959-03-28,6.3,1959,1959
1959-03-29,3.2,1959,1959
1959-03-30,1.6,1959,1959
1959-03-31,1.4,1959,1959
1959-04-01,0.3,1959,1959
1959-04-02,0.0,1959,1959
1959-04-03,0.0,1959,1959
1959-04-04,0.0,1959,1959
1959-04-05,0.0,1959,1959
1959-04-06,0.0,1959,1959
1959-04-07,0.0,1959,1959
1959-04-08,0.0,1959,1959
1959-04-09,0.0,1959,1959
1959-04-10,0.0,1959,1959
1959-04-11,0.0,1959,1959
1959-04-12,0.0,1959,1959
1959-04-13,0.0,1959,1959
1959-04-14,0.0,1959,1959
1959-04-15,0.0,1959,1959
1959-04-16,0.0,1959,1959
1959-04-17,0.0,1959,1959
1959-04-18,0.0,1959,1959
1959-04-19,0.0,1959,1959
1959-04-20,0.0,1959,1959
1959-04-21,0.0,1959,1959
1959-04-22,0.0,1959,1959
1959-04-23,0.0,1959,1959
1959-04-24,0.0,1959,1959
1959-04-25,0.0,1959,1959
1959-04-26,0.0,1959,1959
1959-04-27,0.0,1959,1959
1959-04-28,0.0,1959,1959
1959-04-29,0.0,1959,1959
1959-04-30,0.0,1959,1959
1959-05-01,0.0,1959,1959
1959-05-02,0.0,1959,1959
1959-05-03,0.0,1959,1959
1959-05-04,0.0,1959,1959
1959-05-05,0.0,1959,1959
1959-05-06,0.0,1959,1959
1959-05-07,0.0,1959,1959
1959-05-08,0.0,1959,1959
1959-05-09,0.0,1959,1959
1959-05-10,0.0,1959,1959
1959-05-11,0.0,1959,1959
1959-05-12,0.0,1959,1959
1959-05-13,0.0,1959,1959
1959-05-14,0.0,1959,1959
1959-05-15,0.0,1959,1959
1959-05-16,0.0,1959,1959
1959-05-17,0.0,1959,1959
1959-05-18,0.0,1959,1959
1959-05-19,0.0,1959,1959
1959-05-20,0.0,1959,1959
1959-05-21,0.0,1959,1959
1959-05-22,0.0,1959,1959
1959-05-23,0.0,1959,1959
1959-05-24,0.0,1959,1959
1959-05-25,0.0,1959,1959
1959-05-26,0.0,1959,1959
1959-05-27,0.0,1959,1959
1959-05-28,0.0,1959,1959
1959-05-29,0.0,1959,1959
1959-05-30,0.0,1959,1959
1959-05-31,0.0,1959,1959
1959-06-01,0.0,1959,1959
1959-06-02,0.0,1959,1959
1959-06-03,0.0,1959,1959
1959-06-04,0.0,1959,1959
1959-06-05,0.0,1959,1959
1959-06-06,0.0,1959,1959
1959-06-07,0.0,1959,1959
1959-06-08,0.0,1959,1959
1959-06-09,0.0,1959,1959
1959-06-10,0.0,1959,1959
1959-06-11,0.0,1959,1959
1959-06-12,0.0,1959,1959
1959-06-13,0.0,1959,1959
1959-06-14,0.0,1959,1959
1959-06-15,0.0,1959,1959
1959-06-16,0.0,1959,1959
1959-06-17,0.0,1959,1959
1959-06-18,0.0,1959,1959
1959-06-19,0.0,1959,1959
1959-06-20,0.0,1959,1959
1959-06-21,0.0,1959,1959
1959-06-22,0.0,1959,1959
1959-06-23,0.0,1959,1959
1959-06-24,0.0,1959,1959
1959-06-25,0.0,1959,1959
1959-06-26,0.0,1959,1959
1959-06-27,0.0,1959,1959
1959-06-28,0.0,1959,1959
1959-06-29,0.0,1959,1959
1959-06-30,0.0,1959,1959
1959-07-01,0.0,1960,1960
1959-07-02,0.0,1960,1960
1959-07-03,0.0,1960,1960
1959-07-04,0.0,1960,1960
1959-07-05,0.0,1960,1960
1959-07-06,0.0,1960,1960
1959-07-07,0.0,1960,1960
1959-07-08,0.0,1960,1960
1959-07-09,0.0,1960,1960
1959-07-10,0.0,1960,1960
1959-07-11,0.0,1960,1960
1959-07-12,0.0,1960,1960
1959-07-13,0.0,1960,1960
1959-07-14,0.0,1960,1960
