Municipality,Points
Nannestad,"[(60.24957206676335, 11.03602371052966), (60.24957206676335, 11.04002371052966), (60.24957206676335, 11.04402371052966), (60.24957206676335, 11.048023710529659), (60.25357206676335, 11.03602371052966), (60.25357206676335, 11.04002371052966), (60.25357206676335, 11.04402371052966), (60.25357206676335, 11.048023710529659)]"
Nes,"[(60.12104319539925, 9.248678962561366), (60.12104319539925, 9.252678962561365), (60.12104319539925, 9.256678962561365), (60.12104319539925, 9.260678962561364), (60.12504319539925, 9.248678962561366), (60.12504319539925, 9.252678962561365), (60.12504319539925, 9.256678962561365), (60.12504319539925, 9.260678962561364)]"
Nesodden,"[(59.81515422035836, 10.65925884301253), (59.81515422035836, 10.66325884301253), (59.81515422035836, 10.66725884301253), (59.81515422035836, 10.671258843012529), (59.81915422035836, 10.65925884301253), (59.81915422035836, 10.66325884301253), (59.81915422035836, 10.66725884301253), (59.81915422035836, 10.671258843012529)]"
Oppegård,"[(59.80129168560943, 10.785991618173702), (59.80129168560943, 10.789991618173701), (59.80129168560943, 10.7939916181737), (59.80129168560943, 10.7979916181737), (59.805291685609426, 10.785991618173702), (59.805291685609426, 10.789991618173701), (59.805291685609426, 10.7939916181737), (59.805291685609426, 10.7979916181737)]"
Rælingen,"[(59.92601969240765, 11.038862681135903), (59.92601969240765, 11.042862681135903), (59.92601969240765, 11.046862681135902), (59.92601969240765, 11.050862681135902), (59.93001969240765, 11.038862681135903), (59.93001969240765, 11.042862681135903), (59.93001969240765, 11.046862681135902), (59.93001969240765, 11.050862681135902)]"
Skedsmo,"[(59.94393557759773, 11.036725651269744), (59.94393557759773, 11.040725651269744), (59.94393557759773, 11.044725651269744), (59.94393557759773, 11.048725651269743), (59.947935577597725, 11.036725651269744), (59.947935577597725, 11.040725651269744), (59.947935577597725, 11.044725651269744), (59.947935577597725, 11.048725651269743)]"
Ski,"[(59.72182336228729, 10.831601300973553), (59.72182336228729, 10.835601300973552), (59.72182336228729, 10.839601300973552), (59.72182336228729, 10.843601300973551), (59.72582336228729, 10.831601300973553), (59.72582336228729, 10.835601300973552), (59.72582336228729, 10.839601300973552), (59.72582336228729, 10.843601300973551)]"
Sørum,"[(59.99499877104956, 11.245984335984375), (59.99499877104956, 11.249984335984374), (59.99499877104956, 11.253984335984374), (59.99499877104956, 11.257984335984373), (59.99899877104956, 11.245984335984375), (59.99899877104956, 11.249984335984374), (59.99899877104956, 11.253984335984374), (59.99899877104956, 11.257984335984373)]"
Ullensaker,"[(60.13681204023979, 11.17577053461573), (60.13681204023979, 11.179770534615729), (60.13681204023979, 11.183770534615729), (60.13681204023979, 11.187770534615728), (60.14081204023979, 11.17577053461573), (60.14081204023979, 11.179770534615729), (60.14081204023979, 11.183770534615729), (60.14081204023979, 11.187770534615728)]"
Vestby,"[(59.53034822158671, 10.749055902705049), (59.53034822158671, 10.753055902705048), (59.53034822158671, 10.757055902705048), (59.53034822158671, 10.761055902705047), (59.53434822158671, 10.749055902705049), (59.53434822158671, 10.753055902705048), (59.53434822158671, 10.757055902705048), (59.53434822158671, 10.761055902705047)]"
Ås,"[(59.657435980011364, 10.78628769856537), (59.657435980011364, 10.79028769856537), (59.657435980011364, 10.79428769856537), (59.657435980011364, 10.79828769856537), (59.66143598001136, 10.78628769856537), (59.66143598001136, 10.79028769856537), (59.66143598001136, 10.79428769856537), (59.66143598001136, 10.79828769856537)]"
Alvdal,"[(62.106865591199615, 10.622986279907805), (62.106865591199615, 10.626986279907804), (62.106865591199615, 10.630986279907804), (62.106865591199615, 10.634986279907803), (62.11086559119961, 10.622986279907805), (62.11086559119961, 10.626986279907804), (62.11086559119961, 10.630986279907804), (62.11086559119961, 10.634986279907803)]"
Eidskog,"[(60.04390129890796, 12.12088544705268), (60.04390129890796, 12.12488544705268), (60.04390129890796, 12.12888544705268), (60.04390129890796, 12.13288544705268), (60.04790129890796, 12.12088544705268), (60.04790129890796, 12.12488544705268), (60.04790129890796, 12.12888544705268), (60.04790129890796, 12.13288544705268)]"
Elverum,"[(60.88442466103633, 11.566173304840964), (60.88442466103633, 11.570173304840964), (60.88442466103633, 11.574173304840963), (60.88442466103633, 11.578173304840963), (60.888424661036325, 11.566173304840964), (60.888424661036325, 11.570173304840964), (60.888424661036325, 11.574173304840963), (60.888424661036325, 11.578173304840963)]"
Engerdal,"[(61.56649658657826, 11.905632352330933), (61.56649658657826, 11.909632352330933), (61.56649658657826, 11.913632352330932), (61.56649658657826, 11.917632352330932), (61.57049658657826, 11.905632352330933), (61.57049658657826, 11.909632352330933), (61.57049658657826, 11.913632352330932), (61.57049658657826, 11.917632352330932)]"
Folldal,"[(62.130189621381895, 9.9856320447899), (62.130189621381895, 9.9896320447899), (62.130189621381895, 9.9936320447899), (62.130189621381895, 9.9976320447899), (62.13418962138189, 9.9856320447899), (62.13418962138189, 9.9896320447899), (62.13418962138189, 9.9936320447899), (62.13418962138189, 9.9976320447899)]"
Grue,"[(60.43371166986922, 12.286489398982194), (60.43371166986922, 12.290489398982194), (60.43371166986922, 12.294489398982194), (60.43371166986922, 12.298489398982193), (60.437711669869216, 12.286489398982194), (60.437711669869216, 12.290489398982194), (60.437711669869216, 12.294489398982194), (60.437711669869216, 12.298489398982193)]"
Hamar,"[(60.789696951442494, 11.06142360650208), (60.789696951442494, 11.06542360650208), (60.789696951442494, 11.06942360650208), (60.789696951442494, 11.073423606502079), (60.79369695144249, 11.06142360650208), (60.79369695144249, 11.06542360650208), (60.79369695144249, 11.06942360650208), (60.79369695144249, 11.073423606502079)]"
Kongsvinger,"[(60.18498819953343, 12.000304494471898), (60.18498819953343, 12.004304494471898), (60.18498819953343, 12.008304494471897), (60.18498819953343, 12.012304494471897), (60.188988199533426, 12.000304494471898), (60.188988199533426, 12.004304494471898), (60.188988199533426, 12.008304494471897), (60.188988199533426, 12.012304494471897)]"
Løten,"[(60.815397397575325, 11.334339488059474), (60.815397397575325, 11.338339488059473), (60.815397397575325, 11.342339488059473), (60.815397397575325, 11.346339488059472), (60.81939739757532, 11.334339488059474), (60.81939739757532, 11.338339488059473), (60.81939739757532, 11.342339488059473), (60.81939739757532, 11.346339488059472)]"
Nord-Odal,"[(60.4169811960915, 11.561007153218627), (60.4169811960915, 11.565007153218627), (60.4169811960915, 11.569007153218626), (60.4169811960915, 11.573007153218626), (60.420981196091496, 11.561007153218627), (60.420981196091496, 11.565007153218627), (60.420981196091496, 11.569007153218626), (60.420981196091496, 11.573007153218626)]"
Os,"[(60.19798245595709, 5.501158001464479), (60.201982455957086, 5.501158001464479), (60.201982455957086, 5.505158001464479), (60.201982455957086, 5.5091580014644785), (60.201982455957086, 5.513158001464478), (60.205982455957084, 5.501158001464479), (60.205982455957084, 5.505158001464479), (60.205982455957084, 5.5091580014644785), (60.205982455957084, 5.513158001464478), (60.20998245595708, 5.513158001464478)]"
Rendalen,"[(61.877734165516486, 11.07473204790054), (61.877734165516486, 11.07873204790054), (61.877734165516486, 11.082732047900539), (61.877734165516486, 11.086732047900538), (61.881734165516484, 11.07473204790054), (61.881734165516484, 11.07873204790054), (61.881734165516484, 11.082732047900539), (61.881734165516484, 11.086732047900538)]"
Ringsaker,"[(60.94707114646545, 10.912607636394068), (60.94707114646545, 10.916607636394067), (60.94707114646545, 10.920607636394067), (60.94707114646545, 10.924607636394066), (60.951071146465445, 10.912607636394068), (60.951071146465445, 10.916607636394067), (60.951071146465445, 10.920607636394067), (60.951071146465445, 10.924607636394066)]"
Stange,"[(60.71277148195357, 11.199268511682265), (60.71277148195357, 11.203268511682264), (60.71277148195357, 11.207268511682264), (60.71277148195357, 11.211268511682263), (60.716771481953565, 11.199268511682265), (60.716771481953565, 11.203268511682264), (60.716771481953565, 11.207268511682264), (60.716771481953565, 11.211268511682263)]"
Stor-Elvdal,"[(61.63265966093942, 10.992470728276963), (61.63265966093942, 10.996470728276963), (61.63265966093942, 11.000470728276962), (61.63265966093942, 11.004470728276962), (61.636659660939415, 10.992470728276963), (61.636659660939415, 10.996470728276963), (61.636659660939415, 11.000470728276962), (61.636659660939415, 11.004470728276962)]"
Sør-Odal,"[(60.24622293893789, 11.560833830999057), (60.24622293893789, 11.564833830999056), (60.24622293893789, 11.568833830999056), (60.24622293893789, 11.572833830999055), (60.25022293893789, 11.560833830999057), (60.25022293893789, 11.564833830999056), (60.25022293893789, 11.568833830999056), (60.25022293893789, 11.572833830999055)]"
Tolga,"[(62.41448001729861, 10.985232731223945), (62.41448001729861, 10.989232731223945), (62.41448001729861, 10.993232731223944), (62.41448001729861, 10.997232731223944), (62.418480017298606, 10.985232731223945), (62.418480017298606, 10.989232731223945), (62.418480017298606, 10.993232731223944), (62.418480017298606, 10.997232731223944)]"
Trysil,"[(61.313688804217776, 12.266931606750559), (61.313688804217776, 12.270931606750558), (61.313688804217776, 12.274931606750558), (61.313688804217776, 12.278931606750557), (61.317688804217774, 12.266931606750559), (61.317688804217774, 12.270931606750558), (61.317688804217774, 12.274931606750558), (61.317688804217774, 12.278931606750557)]"
Tynset,"[(62.27333855462755, 10.77250419843441), (62.27333855462755, 10.77650419843441), (62.27333855462755, 10.780504198434409), (62.27333855462755, 10.784504198434409), (62.27733855462755, 10.77250419843441), (62.27733855462755, 10.77650419843441), (62.27733855462755, 10.780504198434409), (62.27733855462755, 10.784504198434409)]"
Åmot,"[(60.99950372316307, 11.49823979812441), (60.99950372316307, 11.50223979812441), (60.99950372316307, 11.50623979812441), (60.99950372316307, 11.51023979812441), (61.00350372316307, 11.49823979812441), (61.00350372316307, 11.50223979812441), (61.00350372316307, 11.50623979812441), (61.00350372316307, 11.51023979812441)]"
Åsnes,"[(60.56239616284704, 12.001955190386562), (60.56239616284704, 12.005955190386562), (60.56239616284704, 12.009955190386561), (60.56239616284704, 12.013955190386561), (60.566396162847035, 12.001955190386562), (60.566396162847035, 12.005955190386562), (60.566396162847035, 12.009955190386561), (60.566396162847035, 12.013955190386561)]"
Dovre,"[(62.07437939810103, 9.24652725147264), (62.07437939810103, 9.25052725147264), (62.07437939810103, 9.25452725147264), (62.07437939810103, 9.258527251472639), (62.07837939810103, 9.24652725147264), (62.07837939810103, 9.25052725147264), (62.07837939810103, 9.25452725147264), (62.07837939810103, 9.258527251472639)]"
Etnedal,"[(60.88993149258291, 9.553853192382904), (60.88993149258291, 9.557853192382904), (60.88993149258291, 9.561853192382904), (60.88993149258291, 9.565853192382903), (60.89393149258291, 9.553853192382904), (60.89393149258291, 9.557853192382904), (60.89393149258291, 9.561853192382904), (60.89393149258291, 9.565853192382903)]"
Gausdal,"[(61.263323050849365, 10.143221023019716), (61.263323050849365, 10.147221023019716), (61.263323050849365, 10.151221023019716), (61.263323050849365, 10.155221023019715), (61.26732305084936, 10.143221023019716), (61.26732305084936, 10.147221023019716), (61.26732305084936, 10.151221023019716), (61.26732305084936, 10.155221023019715)]"
Gjøvik,"[(60.79635434083711, 10.692651811226208), (60.79635434083711, 10.696651811226207), (60.79635434083711, 10.700651811226207), (60.79635434083711, 10.704651811226206), (60.80035434083711, 10.692651811226208), (60.80035434083711, 10.696651811226207), (60.80035434083711, 10.700651811226207), (60.80035434083711, 10.704651811226206)]"
Gran,"[(60.36068719287451, 10.568739154397317), (60.36068719287451, 10.572739154397317), (60.36068719287451, 10.576739154397316), (60.36068719287451, 10.580739154397316), (60.364687192874506, 10.568739154397317), (60.364687192874506, 10.572739154397317), (60.364687192874506, 10.576739154397316), (60.364687192874506, 10.580739154397316)]"
Jevnaker,"[(60.237568864896694, 10.386422869230318), (60.237568864896694, 10.390422869230317), (60.237568864896694, 10.394422869230317), (60.237568864896694, 10.398422869230316), (60.24156886489669, 10.386422869230318), (60.24156886489669, 10.390422869230317), (60.24156886489669, 10.394422869230317), (60.24156886489669, 10.398422869230316)]"
Lesja,"[(62.21946834161581, 8.852330591961225), (62.21946834161581, 8.856330591961225), (62.21946834161581, 8.860330591961224), (62.21946834161581, 8.864330591961224), (62.223468341615806, 8.852330591961225), (62.223468341615806, 8.856330591961225), (62.223468341615806, 8.860330591961224), (62.223468341615806, 8.864330591961224)]"
Lillehammer,"[(61.11255853148106, 10.463818562887868), (61.11255853148106, 10.467818562887867), (61.11255853148106, 10.471818562887867), (61.11255853148106, 10.475818562887866), (61.11655853148106, 10.463818562887868), (61.11655853148106, 10.467818562887867), (61.11655853148106, 10.471818562887867), (61.11655853148106, 10.475818562887866)]"
Lom,"[(61.837153443842546, 8.567149533687322), (61.837153443842546, 8.571149533687322), (61.837153443842546, 8.575149533687322), (61.837153443842546, 8.579149533687321), (61.84115344384254, 8.567149533687322), (61.84115344384254, 8.571149533687322), (61.84115344384254, 8.575149533687322), (61.84115344384254, 8.579149533687321)]"
Lunner,"[(60.29921898602319, 10.613308778832653), (60.29921898602319, 10.617308778832653), (60.29921898602319, 10.621308778832653), (60.29921898602319, 10.625308778832652), (60.30321898602319, 10.613308778832653), (60.30321898602319, 10.617308778832653), (60.30321898602319, 10.621308778832653), (60.30321898602319, 10.625308778832652)]"
Nord-Aurdal,"[(61.03114338475015, 9.269836064105892), (61.03114338475015, 9.273836064105891), (61.03114338475015, 9.277836064105891), (61.03114338475015, 9.28183606410589), (61.03514338475015, 9.269836064105892), (61.03514338475015, 9.273836064105891), (61.03514338475015, 9.277836064105891), (61.03514338475015, 9.28183606410589)]"
Nord-Fron,"[(61.58993458620313, 9.733383327230976), (61.58993458620313, 9.737383327230976), (61.58993458620313, 9.741383327230976), (61.58993458620313, 9.745383327230975), (61.593934586203126, 9.733383327230976), (61.593934586203126, 9.737383327230976), (61.593934586203126, 9.741383327230976), (61.593934586203126, 9.745383327230975)]"
Nordre Land,"[(60.818300431988646, 10.0266855064865), (60.818300431988646, 10.030685506486499), (60.818300431988646, 10.034685506486499), (60.818300431988646, 10.038685506486498), (60.822300431988644, 10.0266855064865), (60.822300431988644, 10.030685506486499), (60.822300431988644, 10.034685506486499), (60.822300431988644, 10.038685506486498)]"
Ringebu,"[(61.52406702215342, 10.140210459469392), (61.52406702215342, 10.144210459469392), (61.52406702215342, 10.148210459469391), (61.52406702215342, 10.15221045946939), (61.528067022153415, 10.140210459469392), (61.528067022153415, 10.144210459469392), (61.528067022153415, 10.148210459469391), (61.528067022153415, 10.15221045946939)]"
Sel,"[(61.764874426943145, 9.380534614757085), (61.764874426943145, 9.384534614757085), (61.764874426943145, 9.388534614757084), (61.764874426943145, 9.392534614757084), (61.76887442694314, 9.380534614757085), (61.76887442694314, 9.384534614757085), (61.76887442694314, 9.388534614757084), (61.76887442694314, 9.392534614757084)]"
Skjåk,"[(61.876137955701545, 8.253558992661114), (61.876137955701545, 8.257558992661114), (61.876137955701545, 8.261558992661113), (61.876137955701545, 8.265558992661113), (61.88013795570154, 8.253558992661114), (61.88013795570154, 8.257558992661114), (61.88013795570154, 8.261558992661113), (61.88013795570154, 8.265558992661113), (61.88413795570154, 8.265558992661113)]"
Søndre Land,"[(60.67671650792409, 10.341983944618105), (60.67671650792409, 10.345983944618105), (60.67671650792409, 10.349983944618105), (60.67671650792409, 10.353983944618104), (60.68071650792409, 10.341983944618105), (60.68071650792409, 10.345983944618105), (60.68071650792409, 10.349983944618105), (60.68071650792409, 10.353983944618104)]"
Sør-Aurdal,"[(60.80800427137308, 9.53095635051262), (60.80800427137308, 9.53495635051262), (60.80800427137308, 9.538956350512619), (60.80800427137308, 9.542956350512618), (60.81200427137308, 9.53095635051262), (60.81200427137308, 9.53495635051262), (60.81200427137308, 9.538956350512619), (60.81200427137308, 9.542956350512618)]"
Sør-Fron,"[(61.59959681042093, 9.750630619737787), (61.59959681042093, 9.754630619737787), (61.59959681042093, 9.758630619737787), (61.59959681042093, 9.762630619737786), (61.603596810420925, 9.750630619737787), (61.603596810420925, 9.754630619737787), (61.603596810420925, 9.758630619737787), (61.603596810420925, 9.762630619737786)]"
Vang,"[(61.125345050697774, 8.563813068927187), (61.125345050697774, 8.567813068927187), (61.125345050697774, 8.571813068927186), (61.125345050697774, 8.575813068927186), (61.12934505069777, 8.563813068927187), (61.12934505069777, 8.567813068927187), (61.12934505069777, 8.571813068927186), (61.12934505069777, 8.575813068927186)]"
Vestre Slidre,"[(61.07268150273386, 8.983543353579222), (61.07268150273386, 8.987543353579222), (61.07268150273386, 8.991543353579221), (61.07268150273386, 8.99554335357922), (61.076681502733855, 8.983543353579222), (61.076681502733855, 8.987543353579222), (61.076681502733855, 8.991543353579221), (61.076681502733855, 8.99554335357922)]"
Vestre Toten,"[(60.71281689636339, 10.612079066158168), (60.71281689636339, 10.616079066158168), (60.71281689636339, 10.620079066158167), (60.71281689636339, 10.624079066158167), (60.71681689636339, 10.612079066158168), (60.71681689636339, 10.616079066158168), (60.71681689636339, 10.620079066158167), (60.71681689636339, 10.624079066158167)]"
Vågå,"[(61.8730407183571, 8.960224343457577), (61.8730407183571, 8.964224343457577), (61.8730407183571, 8.968224343457576), (61.8730407183571, 8.972224343457576), (61.8770407183571, 8.960224343457577), (61.8770407183571, 8.964224343457577), (61.8770407183571, 8.968224343457576), (61.8770407183571, 8.972224343457576)]"
Østre Toten,"[(60.67785033464497, 10.92847210908799), (60.67785033464497, 10.932472109087989), (60.67785033464497, 10.936472109087989), (60.67785033464497, 10.940472109087988), (60.68185033464497, 10.92847210908799), (60.68185033464497, 10.932472109087989), (60.68185033464497, 10.936472109087989), (60.68185033464497, 10.940472109087988)]"
Øyer,"[(61.26344468244167, 10.404709249050716), (61.26344468244167, 10.408709249050716), (61.26344468244167, 10.412709249050716), (61.26344468244167, 10.416709249050715), (61.26744468244167, 10.404709249050716), (61.26744468244167, 10.408709249050716), (61.26744468244167, 10.412709249050716), (61.26744468244167, 10.416709249050715)]"
Øystre Slidre,"[(61.202592515279505, 9.07069359378687), (61.202592515279505, 9.07469359378687), (61.202592515279505, 9.07869359378687), (61.202592515279505, 9.08269359378687), (61.2065925152795, 9.07069359378687), (61.2065925152795, 9.07469359378687), (61.2065925152795, 9.07869359378687), (61.2065925152795, 9.08269359378687)]"
Drammen,"[(59.74540135789145, 10.204974070087031), (59.74540135789145, 10.20897407008703), (59.74540135789145, 10.21297407008703), (59.74540135789145, 10.21697407008703), (59.74940135789145, 10.204974070087031), (59.74940135789145, 10.20897407008703), (59.74940135789145, 10.21297407008703), (59.74940135789145, 10.21697407008703)]"
Flesberg,"[(59.846426608881025, 9.564558482371444), (59.846426608881025, 9.568558482371444), (59.846426608881025, 9.572558482371443), (59.846426608881025, 9.576558482371443), (59.85042660888102, 9.564558482371444), (59.85042660888102, 9.568558482371444), (59.85042660888102, 9.572558482371443), (59.85042660888102, 9.576558482371443)]"
Flå,"[(60.42740008042268, 9.467675258666421), (60.42740008042268, 9.471675258666421), (60.42740008042268, 9.47567525866642), (60.42740008042268, 9.47967525866642), (60.43140008042268, 9.467675258666421), (60.43140008042268, 9.471675258666421), (60.43140008042268, 9.47567525866642), (60.43140008042268, 9.47967525866642)]"
Gol,"[(60.70167456796048, 8.94294638654848), (60.70167456796048, 8.946946386548479), (60.70167456796048, 8.950946386548479), (60.70167456796048, 8.954946386548478), (60.70567456796048, 8.94294638654848), (60.70567456796048, 8.946946386548479), (60.70567456796048, 8.950946386548479), (60.70567456796048, 8.954946386548478)]"
Hemsedal,"[(60.86310630204753, 8.542928750565098), (60.86310630204753, 8.546928750565097), (60.86310630204753, 8.550928750565097), (60.86310630204753, 8.554928750565097), (60.867106302047524, 8.542928750565098), (60.867106302047524, 8.546928750565097), (60.867106302047524, 8.550928750565097), (60.867106302047524, 8.554928750565097)]"
Hol,"[(60.60262403431685, 8.558544838266785), (60.60262403431685, 8.562544838266785), (60.60262403431685, 8.566544838266784), (60.60262403431685, 8.570544838266784), (60.606624034316845, 8.558544838266785), (60.606624034316845, 8.562544838266785), (60.606624034316845, 8.566544838266784), (60.606624034316845, 8.570544838266784)]"
Hole,"[(60.06246309406425, 10.266964423209355), (60.06246309406425, 10.270964423209355), (60.06246309406425, 10.274964423209354), (60.06246309406425, 10.278964423209354), (60.06646309406425, 10.266964423209355), (60.06646309406425, 10.270964423209355), (60.06646309406425, 10.274964423209354), (60.06646309406425, 10.278964423209354)]"
Hurum,"[(59.63012853792232, 10.505601332577932), (59.63012853792232, 10.509601332577931), (59.63012853792232, 10.513601332577931), (59.63012853792232, 10.51760133257793), (59.634128537922315, 10.505601332577932), (59.634128537922315, 10.509601332577931), (59.634128537922315, 10.513601332577931), (59.634128537922315, 10.51760133257793)]"
Kongsberg,"[(59.67875481455793, 9.64517410193838), (59.67875481455793, 9.64917410193838), (59.67875481455793, 9.65317410193838), (59.67875481455793, 9.657174101938379), (59.682754814557924, 9.64517410193838), (59.682754814557924, 9.64917410193838), (59.682754814557924, 9.65317410193838), (59.682754814557924, 9.657174101938379)]"
Krødsherad,"[(60.17481442569363, 9.672876747084082), (60.17481442569363, 9.676876747084082), (60.17481442569363, 9.680876747084081), (60.17481442569363, 9.68487674708408), (60.17881442569363, 9.672876747084082), (60.17881442569363, 9.676876747084082), (60.17881442569363, 9.680876747084081), (60.17881442569363, 9.68487674708408)]"
