Municipality,Latitude,Longitude,Beta
Risør,58.72,9.2,4.583427855889814
Tvedestrand,58.6197,8.9314,4.673027090397155
Valle,59.2125,7.5356,5.032039480191819
Vegårshei,58.75,8.9333,5.140231330527962
Åmli,58.7667,8.5,6.203035154529242
Audnedal,58.2833,7.3333,5.684613891613213
Flekkefjord,58.2975,6.6644,5.5333007606761635
Hægebostad,58.35,7.1833,6.146218293497152
Kristiansand,58.1467,7.9956,4.484092341788844
Kvinesdal,58.3167,6.9667,4.968126502482174
Lindesnes,58.0833,7.2833,4.1787056129389075
Lyngdal,58.1333,7.0667,5.324283946895144
Mandal,58.0275,7.4536,6.8030794254655085
Marnardal,58.2667,7.5333,5.317491148889716
Sirdal,58.85,6.9,7.532629917978741
Songdalen,58.2833,7.7167,6.0188862366499265
Søgne,58.0833,7.8167,4.829585996978589
Vennesla,58.2667,7.9747,4.774543881969877
Bjerkreim,58.6458,6.0731,4.985305252057455
Bokn,59.217,5.45,2.110199062009944
Eigersund,58.451,6.0048,2.9452314381519193
Finnøy,59.1667,5.8333,2.628804819949247
Forsand,58.9078,6.238,3.7057225162367815
Gjesdal,58.77,6.08,5.2872672598163355
Hjelmeland,59.23,6.18,2.994346097560243
Hå,58.6167,5.65,2.428236329752714
Karmøy,59.2833,5.3,2.0610363426857514
Klepp,58.77,5.63,2.284580384485025
Kvitsøy,59.0667,5.4167,2.2426751580108086
Lund,58.4667,6.55,5.673543590590628
Randaberg,58.9833,5.6167,2.9561990379877936
Sandnes,58.8524,5.7352,3.764378803637536
Sauda,59.65,6.35,3.801612207147283
Sokndal,58.3467,6.2896,3.3557685284910193
Sola,58.8887,5.65,2.7706871724671345
Stavanger,58.969,5.7331,2.1852725962815223
Strand,59.0222,6.04,3.373938301594112
Time,58.725,5.73,2.8679500855486038
Tysvær,59.4,5.5,3.400351565156044
Vindafjord,59.6,5.95,5.885218356319166
Askøy,60.4,5.0,2.9247090239029134
Bømlo,59.8,5.2,2.2662318999152378
Etne,59.7,5.9,5.508426903374936
Fusa,60.2,5.7,5.3767982723662
Granvin,60.5,6.7,4.197970171308885
Jondal,60.3,6.3,4.305839755101132
Kvam,60.4,6.1,8.921235672906418
Kvinnherad,59.9,6.0,5.058791128012673
Lindås,60.7,5.3,3.4381412026670923
Masfjorden,61.0,5.3,8.521303700928534
Meland,60.6,5.0,2.2973844790850753
Modalen,60.8,5.7,7.7909511305500825
Odda,60.1,6.5,6.911800100168878
Osterøy,60.5,5.6,5.138293290264026
Voss,60.6,6.4,5.0323509654142295
Askvoll,61.3483,5.0736,3.271592204452026
Aurland,60.9064,7.1949,3.509977933722282
Jostedalsbreen – nær,61.684,6.8867,1.0
Eid,61.9104,5.9987,4.571062244763182
Fjaler,61.3669,5.4127,5.751300864814977
Førde,61.4526,5.8621,7.193876531630357
Gaular,61.3954,5.9553,6.305960843707364
Gulen,60.9847,5.2058,4.724230722374654
Hornindal,62.0094,6.5231,6.467325026085061
Hyllestad,61.2804,5.3018,5.510957065886726
Høyanger,61.2165,6.0812,3.649263458047764
Jølster,61.5708,6.2531,5.694804668349318
Leikanger,61.1844,6.8476,3.37453817187924
Luster,61.4979,7.3292,1.0
Lærdal,61.0992,7.4786,3.285415993305212
Naustdal,61.5092,5.7271,4.172214871258223
Sogndal,61.229,7.1034,4.086574673679672
Solund,61.0918,4.8324,3.773946865858752
Stryn,61.9018,6.7208,4.885313042172889
Vik,61.0674,6.5857,3.596217707921479
Vågsøy,61.9357,5.1111,3.284589925730186
Aukra,62.7922,6.9069,3.7720958620851537
Aure,63.2714,8.5233,4.61032986464313
Averøy,63.0338,7.4897,4.234947102538839
Eide,62.9163,7.3958,5.048971967265503
Fræna,62.8851,7.1286,5.165675815940905
Gjemnes,62.9667,7.7852,5.174877912289052
Halsa,63.0694,8.2603,4.951642696652278
Hareid,62.3667,6.025,3.7493242990337543
Herøy,65.9917,12.2833,3.6570719985021025
Kristiansund,63.1104,7.7279,4.422597687822885
Midsund,62.6766,6.7265,5.0954320346621715
Molde,62.7375,7.1591,4.170469227545402
Nesset,62.7325,8.1725,1.0
Norddal,62.2631,7.2497,6.92817484040548
Rauma,62.5667,7.7,5.463064273239371
Rindal,63.05,9.2,4.8472357863648545
Skodje,62.4833,6.7167,4.271641537297148
Smøla,63.44,8.0,3.2889892263776646
Stordal,62.3833,7.25,1.0
Stranda,62.3167,6.9333,4.369986034440523
Sunndal,62.6667,8.5667,4.666945714709238
Surnadal,62.9833,8.7333,4.956859207365461
Sykkylven,62.3833,6.5833,5.317100235755839
Tingvoll,62.9167,8.2,4.660221790304906
Ulstein,62.346,5.844,3.9072195853400475
Volda,62.1444,6.0736,4.531322586700041
Ørskog,62.4667,6.7833,4.228574558074312
Fosnes,64.6753,11.2886,5.142060407363977
Frosta,63.5833,10.7667,4.123556980219538
Frøya,63.7256,8.8347,3.3535436119712343
Grong,64.4561,12.3122,3.813850866409146
Hemne,63.2903,9.0919,4.829352915428218
Hitra,63.6033,8.9708,4.182049532450863
Holtålen,62.84,11.3003,4.979479545775573
Høylandet,64.6323,12.3029,6.127816796828548
Inderøy,63.8756,11.2914,5.182056215062034
Indre Fosen,63.5804,10.2241,6.210613448130591
Klæbu,63.3161,10.3947,5.175990127696132
Leka,65.0994,11.6528,3.9281147806703633
Levanger,63.7461,11.2994,4.602696650607782
Lierne,64.4742,13.6019,7.362751279497639
Malvik,63.4211,10.8072,4.366401278192263
Meldal,63.0561,9.7122,5.297251542446371
Meråker,63.4247,11.7444,6.764945327842777
Midtre Gauldal,62.9525,10.4867,6.110680590759089
Namsskogan,64.9239,13.1569,6.528737905211866
Oppdal,62.5944,9.6914,4.861901551558472
Selbu,63.2167,11.0311,4.297084167162745
Trondheim,63.4305,10.3951,4.491013093241789
Tydal,63.0225,11.9325,6.827068610910246
Verdal,63.7931,11.4814,4.34809483362928
Ørland,63.6881,9.6672,4.066196997390844
Alstahaug,65.9442,12.4703,4.710783471462609
Andøy,69.3,16.1333,6.22011086106402
Ballangen,68.3417,16.8333,5.5704575823916045
Beiarn,67.0333,14.5667,3.972722783753073
Bodø,67.2804,14.4049,4.3713734597099325
Dønna,66.0667,12.5167,4.024550419760251
Evenes,68.5,16.7667,5.026289808348802
Fauske,67.2583,15.3906,6.622651306755862
Flakstad,68.1,13.25,4.929801257010465
Gildeskål,67.0333,14.0167,4.428369886161274
Grane,65.5667,13.3833,1.0
Hamarøy,68.0833,15.6333,5.230289120596185
Hattfjelldal,65.6,13.9833,6.63027992172595
Hemnes,66.2167,14.1,1.0
Leirfjord,66.0833,12.8833,5.366494796512814
Lødingen,68.4083,15.9933,5.250425957586085
Moskenes,67.9167,13.0,5.724859540813083
Narvik,68.4385,17.4279,5.678236573286463
Nesna,66.1961,13.0194,4.585507814852278
Rana,66.3106,14.1428,5.382486648957739
Saltdal,66.8667,15.3667,1.0
Sortland,68.6986,15.4149,5.151585411126828
Steigen,67.7833,15.0,5.03438481287755
Sømna,65.3167,12.1833,5.08100433085913
Sørfold,67.3833,15.6333,5.414429815762851
Tjeldsund,68.5833,16.3667,1.0
Tysfjord,68.1833,16.0,5.620917829394841
Vefsn,65.8667,13.1833,6.153684672348752
Vefsn - langs fjorden,65.8667,13.1833,5.616886916673454
Vefsn - Mosjøen,65.8358,13.1903,4.765071061168605
Vega,65.6833,11.9333,4.3382751897393215
Vestvågøy,68.25,13.6,4.846618804653786
Værøy,67.6667,12.6833,2.986778051075154
Vågan,68.2833,14.5667,1.0
Øksnes,68.9167,15.1667,5.351040217843976
Balsfjord,69.2403,19.2186,5.873729139456403
Bardu,68.8667,18.35,5.053514055302203
Dyrøy,69.0928,17.7083,5.504906815879579
Gáivuona/Kåfjord,69.4667,20.6333,8.118294231413566
Gratangen,68.6167,17.5,1.0
Harstad,68.7983,16.5414,5.916679994816091
Ibestad,68.7833,17.1,6.115036671576654
Kvæfjord,68.7667,16.3167,5.839488929624078
Kvænangen,69.9333,22.0333,5.888080241649023
Lavangen,68.7667,17.7,6.146593374448756
Lenvik,69.3667,17.95,7.050337408866602
Lyngen,69.5792,20.2083,5.339601835871108
Målselv,69.1,18.6,5.371469555206986
Nordreisa,69.75,21.0333,5.3232256856057605
Salangen,68.9167,17.8333,6.718061126778358
Storfjord,69.3833,19.9833,1.0
Sørreisa,69.1461,18.1564,5.8767532374189795
Tranøy,69.2,17.4167,6.17745210955272
Alta,69.9689,23.2717,6.366601366155822
Berlevåg,70.8578,29.0861,5.892934173237203
Båtsfjord,70.6333,29.7333,5.928288253413958
Deanu/Tana,70.2,28.1667,6.110579100050233
Gamvik,71.05,28.2333,7.164720873364885
Guovdageaidnu/Kautokeino,69.0111,23.0417,6.462501195461939
Hammerfest,70.6634,23.6821,5.7527441810336395
Kárášjoga/Karasjok,69.4719,25.5114,5.213676480121471
Kvalsund,70.5075,24.0072,5.527352703320929
Lebesby,70.5833,27.0,7.0615500325625815
Loppa,70.25,22.35,7.0371864406383455
Måsøy,71.0,24.6667,5.843601967465488
Nordkapp,71.1667,25.7833,6.60104319795929
Porsanger,70.0519,24.9719,5.7248766152013495
Sør-Varanger,69.6667,29.9833,5.396547778515986
Unjárga/Nesseby,70.1492,28.8661,5.995752326539236
