Municipality,Elevation
Kviteseid,"[205.0880584716797, 228.7808074951172, 294.0970458984375, 352.4613342285156, 307.7933654785156, 366.3983154296875, 416.785888671875, 433.2756042480469]"
Nissedal,"[283.5629272460938, 259.3028564453125, 246, 246, 252.0887298583984, 246, 246, 246]"
Nome,"[310.0052490234375, 293.9329833984375, 286.0559692382812, 334.6814575195312, 194.0684356689453, 216.6062469482422, 239.0359497070312, 207.8233337402344]"
Notodden,"[19.73979377746582, 19.44596672058105, 19, 19, 32.06227111816406, 44.69295120239258, 38.55961990356445, 35.80886077880859]"
Porsgrunn,"[3.150819778442383, 6.065069198608398, 7.532857894897461, 9.084757804870605, 5.070137500762939, 17.75516128540039, 10.1908540725708, 1]"
Sauherad,"[34.33884811401367, 22.01290130615234, 24.3163890838623, 44.21035385131836, 74.02188873291016, 72.8512191772461, 51.80949401855469, 29.85612869262695]"
Seljord,"[122.4384689331055, 121.1970596313477, 118.4384689331055, 117, 126.0390319824219, 117.3010635375977, 117.4625473022461, 118.5462188720703]"
Siljan,"[106.8540496826172, 113.3930969238281, 129.7053527832031, 145.9490509033203, 183.8759002685547, 176.3280944824219, 232.2319183349609, 263.4610595703125]"
Skien,"[7.547752857208252, 22.14913558959961, 74.11294555664062, 90.55674743652344, 144.9008483886719, 131.7982635498047, 104.6005783081055, 89.20071411132812]"
Tinn,"[1093.691772460938, 1129.603637695312, 1171.721801757812, 1178.152465820312, 912.554443359375, 997.066650390625, 1001.494689941406, 1010.035827636719]"
Tokke,"[282.4624633789062, 345.7017822265625, 416.1846923828125, 463.114990234375, 457.7857971191406, 502.7247924804688, 537.48876953125, 584.4825439453125]"
Vinje,"[708.6734008789062, 694.2033081054688, 669.2745971679688, 628.4252319335938, 799.12109375, 770.5344848632812, 744.1119384765625, 677.908935546875]"
Arendal,"[3.874528646469116, 34.25213241577148, 0, 0, 64.91951751708984, 13.728759765625, 38.63873672485352, 27.65930938720703]"
Birkenes,"[180, 193.7480316162109, 205.0730590820312, 217.486083984375, 199.0721130371094, 201.3603057861328, 200.4104309082031, 195.5853881835938]"
Bygland,"[205.76904296875, 211.1317596435547, 220.6909332275391, 238.1905212402344, 258.5540466308594, 225.1094055175781, 224.4080810546875, 248.7647094726562]"
Bykle,"[764.224853515625, 610.9386596679688, 659.1116333007812, 705.3535766601562, 710.6602783203125, 607.4007568359375, 592.7338256835938, 584.862548828125, 588.423583984375, 650.5350341796875]"
Evje og Hornnes,"[205.7335510253906, 186.2270050048828, 191.1562194824219, 191.4412078857422, 207.1773834228516, 199.7881622314453, 200.2341156005859, 199.2261047363281]"
Froland,"[46.51947021484375, 41.10556411743164, 63.13093566894531, 45.38151550292969, 99.74775695800781, 46.24287796020508, 40, 113.1998291015625]"
Gjerstad,"[266.7406616210938, 256.668212890625, 238.4387054443359, 194.0659484863281, 262.6200561523438, 291.30908203125, 258.1629638671875, 201.7271575927734]"
Grimstad,"[21.45135307312012, 2.453990697860718, 14.24096775054932, 0, 12.66452789306641, 18.24563980102539, 10.93056106567383, 0.002211317187175155]"
Iveland,"[275.0938720703125, 261.8972473144531, 256.0005493164062, 246.4132385253906, 295.8910827636719, 294.7224426269531, 273.32861328125, 263.8120422363281]"
Lillesand,"[19.27860450744629, 15.78579902648926, 9.543535232543945, 0, 38.8253173828125, 28.39226913452148, 15.77554607391357, 6.885512351989746]"
Risør,"[31.1422004699707, 41.32717132568359, 58.82778549194336, 72.55115509033203, 54.29972839355469, 3.963326930999756, 11.80171966552734, 15.20880126953125]"
Tvedestrand,"[70.88459777832031, 1.459267497062683, 0.01269401796162128, 6.245848178863525, 36.04666519165039, 24.21574020385742, 41.27476119995117, 59.00897979736328]"
Valle,"[306, 302.7457885742188, 304, 306.4476013183594, 308.2584838867188, 305.0510559082031, 307, 309.2512817382812]"
Vegårshei,"[198.2066192626953, 231.5802764892578, 229.5058441162109, 186.8287200927734, 216.4244384765625, 223.7074127197266, 236.2605133056641, 228.3441772460938]"
Åmli,"[225.5163726806641, 309.9859008789062, 386.1299133300781, 396.9037475585938, 204.7344055175781, 223.8831176757812, 262.9985046386719, 309.4476318359375]"
Audnedal,"[290.1067199707031, 273.980712890625, 246.8392181396484, 246.1259765625, 232.5742797851562, 228.3012237548828, 235.8170471191406, 244.5933227539062]"
Flekkefjord,"[0, 0, 0.895225465297699, 1.616306304931641, 17.15643119812012, 82.82276153564453, 10.03239727020264, 0.9901225566864014, 39.0926628112793, 44.22000885009766]"
Hægebostad,"[492.018310546875, 466.8166809082031, 485.3591613769531, 451.0181579589844, 481.8189392089844, 502.7487182617188, 508.8558654785156, 535.0613403320312, 475.9376525878906, 433.3356018066406]"
Kristiansand,"[0, 2.766448020935059, 2, 9.948083877563477, 2, 8.051551818847656, 11.40442943572998, 7.522946834564209]"
Kvinesdal,"[12.80546951293945, 6.194979667663574, 18.54957008361816, 35.34410095214844, 61.34062576293945, 7.629891395568848, 7.971073627471924, 46.2405891418457, 71.54231262207031, 15.18817138671875]"
Lindesnes,"[166.6465606689453, 132.6184539794922, 101.5680541992188, 87.29928588867188, 127.9626007080078, 87.87454223632812, 61.49884033203125, 35.30154037475586]"
Lyngdal,"[27.31330871582031, 12.06195163726807, 13.74111270904541, 9.54204273223877, 6.607666492462158, 5.557463645935059, 16.78239631652832, 23.07219314575195, 12.60940456390381, 7.716619968414307]"
Mandal,"[13.08281517028809, 32.36386489868164, 11.28637218475342, 3.803941488265991, 68.19657135009766, 43.67390823364258, 50.99649047851562, 44.62040710449219]"
Marnardal,"[147.7574462890625, 206.3376922607422, 251.0588684082031, 276.8105773925781, 177.7043609619141, 158.7115173339844, 182.265625, 207.4573364257812]"
Sirdal,"[832.6734008789062, 670.4935302734375, 680.0238037109375, 706.2006225585938, 734.3556518554688, 619.4279174804688, 619.0733642578125, 632.1234741210938, 635.8176879882812, 665.8106689453125]"
Songdalen,"[239.3621673583984, 231.3193511962891, 254.85546875, 261.6233825683594, 255.6710052490234, 280.3602600097656, 285.6009826660156, 279]"
Søgne,"[15.59180068969727, 22.31629943847656, 19.57859992980957, 9.637656211853027, 13.47811222076416, 19.53000259399414, 32.27320861816406, 25.12726783752441]"
Vennesla,"[47.70607757568359, 38.47865295410156, 41.91335678100586, 45.85423278808594, 50, 43.66368103027344, 50.05717849731445, 58.24090957641602]"
Bjerkreim,"[206.7105255126953, 185.3260040283203, 170.3615417480469, 190.6871795654297, 154.9490051269531, 301.7444763183594, 242.2627716064453, 224.8824310302734, 208.5985870361328, 216.0809326171875]"
Bokn,"[75.74236297607422, 85.55616760253906, 57.58388900756836, 72.13491821289062, 51.53239059448242, 56.41647338867188, 63.89861679077148, 54.97624969482422, 13.57442474365234, 2.947287321090698]"
Eigersund,"[73.53597259521484, 54.68734359741211, 32.8740119934082, 46.05622482299805, 95.7871322631836, 1, 0.8777738809585571, 1.659681916236877, 8.286736488342285, 42.49103546142578]"
Finnøy,"[57.05315017700195, 36.70319366455078, 46.67704391479492, 63.66120529174805, 107.216438293457, 49.23935317993164, 86.73193359375, 122.8993835449219, 130.1419830322266, 114.1096420288086]"
Forsand,"[261.6253356933594, 382.8323364257812, 197.9434356689453, 109, 109, 413.9472961425781, 332.5301513671875, 199.8140716552734, 109, 325.9539489746094]"
Gjesdal,"[383.4685974121094, 353.6928100585938, 327.3616638183594, 356.1375427246094, 379.1113586425781, 278.17822265625, 268.7502746582031, 249.9000244140625, 259.5797119140625, 249]"
Hjelmeland,"[51.47847366333008, 121.2348709106445, 50.48734664916992, 11, 11, 85.58309173583984, 39.43501281738281, 13.51753425598145, 53.07890319824219, 167.0185546875]"
Hå,"[38.69525909423828, 30.96251678466797, 38.91166305541992, 40.93163299560547, 49.21591186523438, 45.90598297119141, 44.31077194213867, 50.1529426574707, 56.85435485839844, 52.3798828125]"
Karmøy,"[36.26595306396484, 20.64080047607422, 14.37745189666748, 8.804058074951172, 8.541776657104492, 5.834133625030518, 20.47232437133789, 7.916542053222656, 3.765154123306274, 10.75199699401855]"
Klepp,"[40.59677886962891, 61.98131942749023, 56.96516036987305, 49.20952224731445, 45.40459442138672, 71.56273651123047, 67.35116577148438, 49.77657699584961, 44.49905395507812, 48.1412353515625]"
Kvitsøy,"[6.672688484191895, 3.149322032928467, 8.399606704711914, 0.0002429533487884328, 4.650195121765137, 10.69130992889404, 2.982751131057739, 0, 11.02636337280273, 5.138138294219971]"
Lund,"[73.19526672363281, 128.2945404052734, 212.7200622558594, 337.5660095214844, 355.0658874511719, 253.1724243164062, 268.7300720214844, 318.3423767089844, 334.1182250976562, 333]"
Randaberg,"[4.024090766906738, 19.95398139953613, 7.301309585571289, 7, 7.523375511169434, 19.87021064758301, 23.36307334899902, 10.68932437896729, 16.14382743835449, 36.43678283691406]"
Sandnes,"[1.728281021118164, 5.923569202423096, 0.04202857613563538, 0, 0, 47.24745941162109, 21.55284309387207, 0.9885216355323792, 0, 0]"
Sauda,"[0, 2.172582626342773, 0, 0, 0, 57.14287185668945, 11.41420364379883, 24.85529136657715, 15.66909980773926, 65.0746078491211]"
Sokndal,"[4.483905792236328, 6.994144916534424, 7.476511478424072, 6.169602870941162, 12.10341167449951, 60.98600006103516, 20.40978813171387, 6.688971519470215, 13.62090110778809, 91.24800872802734]"
Sola,"[7.220620632171631, 6.679046630859375, 8.676790237426758, 8.058547019958496, 8.419069290161133, 4.630727291107178, 8.327958106994629, 11.67592716217041, 10.04803848266602, 10.78935146331787]"
Stavanger,"[61.63053894042969, 30.13813591003418, 37.20981216430664, 28.12906455993652, 14.38996601104736, 33.4521598815918, 25.31298637390137, 15.32768726348877, 25.6648998260498, 12.68458461761475]"
Strand,"[0, 25.73043441772461, 40.92411422729492, 45.88233947753906, 69.28288269042969, 25.99001121520996, 43.26683044433594, 43.66791152954102, 64.92362976074219, 68.87399291992188]"
Time,"[73.064208984375, 109.6931381225586, 91.56748962402344, 79.07963562011719, 77.92402648925781, 85.79197692871094, 97.38317108154297, 94.5633316040039, 96.14099884033203, 100.1015701293945]"
Tysvær,"[45.41078186035156, 43.16159820556641, 52.8485221862793, 61.62530899047852, 52.58475494384766, 58.16444778442383, 71.07035827636719, 65.49434661865234, 122.2724914550781, 94.73153686523438]"
Vindafjord,"[489.9642333984375, 549.5697631835938, 573.5701904296875, 544.1979370117188, 518.783447265625, 538.1345825195312, 570.4434814453125, 579.1386108398438, 566.00146484375, 654.556884765625]"
Askøy,"[2.299005508422852, 16.29108047485352, 36.51384353637695, 30.91547393798828, 22.60317993164062, 0, 29.30954360961914, 16.57756996154785, 14.96354484558105, 21.56250953674316]"
