Municipality,SWE
Østre Toten,"[76.20000457763672, 174.3000030517578, 49.60000228881836, 167.0]"
Øyer,"[125.0, 116.5999984741211, 90.0, 238.5]"
Øystre Slidre,"[282.5, 195.3000030517578, 97.20000457763672, 371.5]"
Drammen,"[18.0, 40.60000228881836, 63.79999923706055, 161.1999969482422]"
Flesberg,"[54.29999923706055, 74.20000457763672, 83.0, 256.20001220703125]"
Flå,"[165.5, 124.0, 73.70000457763672, 267.0]"
Gol,"[101.5, 76.4000015258789, 37.29999923706055, 230.8000030517578]"
Hemsedal,"[307.8999938964844, 396.0, 155.5, 506.5]"
Hol,"[234.8000030517578, 200.8000030517578, 144.60000610351562, 466.6000061035156]"
Hole,"[17.0, 37.20000076293945, 52.10000228881836, 136.60000610351562]"
Hurum,"[70.30000305175781, 93.5999984741211, 89.9000015258789, 235.8000030517578]"
Kongsberg,"[84.5999984741211, 58.0, 70.0, 222.0]"
Krødsherad,"[209.5, 236.10000610351562, 107.0, 342.3000183105469]"
Lier,"[158.0, 239.8000030517578, 97.30000305175781, 353.3999938964844]"
Modum,"[120.30000305175781, 63.5, 74.30000305175781, 252.10000610351562]"
Nedre Eiker,"[31.5, 75.20000457763672, 76.20000457763672, 263.1000061035156]"
Nore og Uvdal,"[282.8999938964844, 250.6999969482422, 169.10000610351562, 497.8000183105469]"
Ringerike,"[13.40000057220459, 31.5, 49.20000076293945, 118.5999984741211]"
Rollag,"[224.6999969482422, 238.60000610351562, 188.60000610351562, 531.1000366210938]"
Røyken,"[31.0, 63.20000076293945, 69.70000457763672, 173.90000915527344]"
Sigdal,"[218.6999969482422, 211.90000915527344, 113.5999984741211, 367.3999938964844]"
Øvre Eiker,"[17.200000762939453, 27.200000762939453, 53.400001525878906, 128.6999969482422]"
Ål,"[113.5, 184.8000030517578, 80.5, 337.1000061035156]"
Hof,"[38.0, 84.5, 78.4000015258789, 204.60000610351562]"
Holmestrand,"[26.0, 44.900001525878906, 58.900001525878906, 133.6999969482422]"
Horten,"[32.79999923706055, 24.700000762939453, 46.400001525878906, 86.9000015258789]"
Larvik,"[26.30000114440918, 81.9000015258789, 44.900001525878906, 59.10000228881836]"
Re,"[29.0, 66.0, 63.29999923706055, 198.40000915527344]"
Sande,"[18.600000381469727, 103.4000015258789, 96.30000305175781, 115.70000457763672]"
Sandefjord,"[9.90000057220459, 71.80000305175781, 32.10000228881836, 77.20000457763672]"
Svelvik,"[29.30000114440918, 46.400001525878906, 30.600000381469727, 84.5]"
Tønsberg,"[8.40000057220459, 41.60000228881836, 61.0, 107.5]"
Bø,"[282.5, 100.80000305175781, 316.20001220703125, 462.8999938964844]"
Drangedal,"[41.79999923706055, 69.0999984741211, 108.0999984741211, 303.5]"
Fyresdal,"[81.80000305175781, 123.5, 99.20000457763672, 254.6999969482422]"
Hjartdal,"[517.2000122070312, 377.6000061035156, 157.3000030517578, 501.70001220703125]"
Kragerø,"[36.10000228881836, 82.70000457763672, 118.70000457763672, 143.8000030517578]"
Kviteseid,"[33.79999923706055, 59.5, 64.70000457763672, 222.8000030517578]"
Nissedal,"[46.10000228881836, 95.4000015258789, 81.5999984741211, 177.10000610351562]"
Nome,"[34.10000228881836, 70.5999984741211, 99.70000457763672, 320.20001220703125]"
Notodden,"[18.399999618530273, 48.79999923706055, 63.5, 144.40000915527344]"
Porsgrunn,"[11.40000057220459, 48.29999923706055, 51.60000228881836, 67.0999984741211]"
Sauherad,"[15.0, 41.0, 54.900001525878906, 170.10000610351562]"
Seljord,"[35.60000228881836, 68.30000305175781, 61.60000228881836, 251.0]"
Siljan,"[62.79999923706055, 127.0, 85.5, 266.5]"
Skien,"[17.80000114440918, 43.10000228881836, 73.0, 119.80000305175781]"
Tinn,"[485.3999938964844, 550.9000244140625, 226.0, 882.7999877929688]"
Tokke,"[193.40000915527344, 129.90000915527344, 146.90000915527344, 319.0]"
Vinje,"[385.0, 310.8000183105469, 170.1999969482422, 413.0]"
Arendal,"[20.0, 91.20000457763672, 60.79999923706055, 77.0999984741211]"
Birkenes,"[112.20000457763672, 145.60000610351562, 192.8000030517578, 297.8999938964844]"
Bygland,"[30.5, 107.5, 101.30000305175781, 173.6999969482422]"
Bykle,"[378.0, 201.8000030517578, 404.8999938964844, 482.8000183105469]"
Evje og Hornnes,"[58.900001525878906, 131.10000610351562, 123.0999984741211, 200.60000610351562]"
Froland,"[19.700000762939453, 191.10000610351562, 235.0, 174.8000030517578]"
Gjerstad,"[48.10000228881836, 110.80000305175781, 145.40000915527344, 280.0]"
Grimstad,"[29.700000762939453, 90.80000305175781, 36.20000076293945, 51.79999923706055]"
Iveland,"[126.20000457763672, 188.0, 184.1999969482422, 328.5]"
Lillesand,"[18.5, 53.29999923706055, 21.200000762939453, 37.29999923706055]"
Risør,"[11.100000381469727, 103.9000015258789, 116.70000457763672, 122.80000305175781]"
Tvedestrand,"[25.399999618530273, 176.3000030517578, 216.0, 159.10000610351562]"
Valle,"[83.9000015258789, 106.30000305175781, 148.90000915527344, 437.20001220703125]"
Vegårshei,"[86.0999984741211, 206.40000915527344, 260.1000061035156, 335.8999938964844]"
Åmli,"[75.4000015258789, 139.0, 160.1999969482422, 170.0]"
Audnedal,"[63.5, 133.1999969482422, 137.5, 192.40000915527344]"
Flekkefjord,"[33.900001525878906, 43.900001525878906, 48.10000228881836, 33.900001525878906]"
Hægebostad,"[159.10000610351562, 234.1999969482422, 129.10000610351562, 390.3999938964844]"
Kristiansand,"[2.9000000953674316, 19.80000114440918, 18.5, 16.30000114440918]"
Kvinesdal,"[20.0, 31.30000114440918, 36.20000076293945, 43.60000228881836]"
Lindesnes,"[13.40000057220459, 53.20000076293945, 34.0, 49.900001525878906]"
Lyngdal,"[19.100000381469727, 28.899999618530273, 29.100000381469727, 34.400001525878906]"
Mandal,"[14.40000057220459, 20.5, 16.600000381469727, 15.699999809265137]"
Marnardal,"[51.29999923706055, 149.0, 172.0, 204.8000030517578]"
Sirdal,"[1379.4000244140625, 766.4000244140625, 773.7000122070312, 1031.2000732421875]"
Songdalen,"[100.5999984741211, 169.60000610351562, 209.8000030517578, 286.6000061035156]"
Søgne,"[7.300000190734863, 18.600000381469727, 20.200000762939453, 17.5]"
Vennesla,"[11.300000190734863, 71.0, 35.29999923706055, 58.10000228881836]"
Bjerkreim,"[60.900001525878906, 84.30000305175781, 46.0, 66.30000305175781]"
Bokn,"[0.0, 58.5, 38.10000228881836, 9.800000190734863]"
Eigersund,"[1.0, 11.300000190734863, 12.800000190734863, 7.800000190734863]"
Finnøy,"[8.300000190734863, 3.6000001430511475, 21.80000114440918, 9.40000057220459]"
Forsand,"[11.300000190734863, 56.5, 24.700000762939453, 18.200000762939453]"
Gjesdal,"[53.60000228881836, 85.0999984741211, 58.20000076293945, 97.5]"
Hjelmeland,"[5.800000190734863, 13.90000057220459, 7.599999904632568, 16.80000114440918]"
Hå,"[1.2000000476837158, 14.100000381469727, 12.600000381469727, 15.600000381469727]"
Karmøy,"[0.0, 9.699999809265137, 50.79999923706055, 11.5]"
Klepp,"[0.0, 15.90000057220459, 16.100000381469727, 10.5]"
Kvitsøy,"[0.0, 6.300000190734863, 11.0, 4.599999904632568]"
Lund,"[26.80000114440918, 50.400001525878906, 48.70000076293945, 50.79999923706055]"
Randaberg,"[14.100000381469727, 5.700000286102295, 18.0, 8.300000190734863]"
Sandnes,"[7.700000286102295, 10.40000057220459, 12.800000190734863, 12.100000381469727]"
Sauda,"[17.899999618530273, 71.0999984741211, 65.4000015258789, 51.29999923706055]"
Sokndal,"[3.9000000953674316, 29.0, 52.70000076293945, 24.700000762939453]"
Sola,"[4.099999904632568, 4.700000286102295, 14.5, 10.800000190734863]"
Stavanger,"[0.0, 5.0, 18.30000114440918, 10.800000190734863]"
Strand,"[9.300000190734863, 7.200000286102295, 11.90000057220459, 16.899999618530273]"
Time,"[11.0, 4.700000286102295, 16.0, 15.100000381469727]"
Tysvær,"[11.800000190734863, 32.5, 42.5, 16.700000762939453]"
Vindafjord,"[273.0, 168.60000610351562, 407.20001220703125, 259.70001220703125]"
Askøy,"[10.100000381469727, 26.600000381469727, 34.60000228881836, 22.30000114440918]"
Bømlo,"[0.0, 25.399999618530273, 43.70000076293945, 23.399999618530273]"
Etne,"[127.5999984741211, 79.9000015258789, 176.8000030517578, 168.40000915527344]"
Fusa,"[35.10000228881836, 26.30000114440918, 66.20000457763672, 54.20000076293945]"
Granvin,"[27.200000762939453, 19.700000762939453, 44.5, 157.40000915527344]"
Jondal,"[39.29999923706055, 68.9000015258789, 211.1999969482422, 127.0999984741211]"
Kvam,"[1486.2000732421875, 551.4000244140625, 1237.2000732421875, 1202.800048828125]"
Kvinnherad,"[947.7000122070312, 177.10000610351562, 912.0, 862.9000244140625]"
Lindås,"[8.0, 21.0, 30.600000381469727, 66.9000015258789]"
Masfjorden,"[25.399999618530273, 29.30000114440918, 30.30000114440918, 32.5]"
Meland,"[0.0, 24.30000114440918, 31.399999618530273, 26.899999618530273]"
Modalen,"[1675.0999755859375, 569.1000366210938, 917.2000122070312, 1666.7000732421875]"
Odda,"[353.3999938964844, 117.0, 370.3999938964844, 724.5]"
Osterøy,"[456.6000061035156, 143.8000030517578, 545.9000244140625, 348.20001220703125]"
Voss,"[58.5, 56.400001525878906, 246.5, 380.70001220703125]"
Askvoll,"[2.0, 53.400001525878906, 36.60000228881836, 56.20000076293945]"
Aurland,"[36.400001525878906, 17.30000114440918, 97.20000457763672, 91.30000305175781]"
Balestrand,[nan]
Jostedalsbreen – nær,"[2792.900146484375, 1495.4000244140625, 2281.900146484375, 1212.800048828125]"
Bremanger,[nan]
Eid,"[15.300000190734863, 70.0, 80.4000015258789, 85.5]"
Fjaler,"[23.700000762939453, 33.70000076293945, 51.900001525878906, 38.60000228881836]"
Flora,[nan]
Førde,"[46.0, 51.5, 52.70000076293945, 57.20000076293945]"
Gaular,"[993.7000122070312, 261.3999938964844, 1134.0, 630.9000244140625]"
Gloppen,[nan]
Gulen,"[40.0, 79.5, 141.6999969482422, 96.5999984741211]"
Hornindal,"[1321.2000732421875, 370.3000183105469, 887.7000122070312, 770.2999877929688]"
Hyllestad,"[36.10000228881836, 75.20000457763672, 91.0, 89.30000305175781]"
Høyanger,"[10.600000381469727, 53.400001525878906, 50.0, 43.900001525878906]"
Jølster,"[278.3999938964844, 88.5999984741211, 808.4000244140625, 265.70001220703125]"
Leikanger,"[4.599999904632568, 44.29999923706055, 54.70000076293945, 58.400001525878906]"
Luster,"[1436.2000732421875, 587.7999877929688, 1388.300048828125, 963.9000244140625]"
