Municipality,Latitude,Longitude,Beta
Gjerstad,58.88,9.0,1.4519524838189324
Grimstad,58.34,8.5934,2.8652622785222115
Iveland,58.45,7.7833,1.44475506633711
Lillesand,58.2486,8.3786,3.519989872073123
Risør,58.72,9.2,1.529202131872652
Tvedestrand,58.6197,8.9314,1.155394361644455
Valle,59.2125,7.5356,1.1388841333001076
Vegårshei,58.75,8.9333,1.0468420789537831
Åmli,58.7667,8.5,2.002358400413595
Audnedal,58.2833,7.3333,1.759235430287448
Flekkefjord,58.2975,6.6644,3.7313685465837865
Hægebostad,58.35,7.1833,1.4428995786890597
Kristiansand,58.1467,7.9956,3.9356867684791235
Kvinesdal,58.3167,6.9667,3.2639578435410606
Lindesnes,58.0833,7.2833,2.3660436102428144
Lyngdal,58.1333,7.0667,3.8669532256035732
Mandal,58.0275,7.4536,6.351986634192397
Marnardal,58.2667,7.5333,1.4522534423281437
Sirdal,58.85,6.9,0.8230839601819068
Songdalen,58.2833,7.7167,1.5422084344235796
Søgne,58.0833,7.8167,4.181641092704665
Vennesla,58.2667,7.9747,2.499649011562697
Bjerkreim,58.6458,6.0731,2.472826610654739
Bokn,59.217,5.45,1.4033689085251422
Eigersund,58.451,6.0048,3.477274145994287
Finnøy,59.1667,5.8333,2.9675152703995
Forsand,58.9078,6.238,2.5158259457654473
Gjesdal,58.77,6.08,2.427919208310262
Hjelmeland,59.23,6.18,3.326167977704029
Hå,58.6167,5.65,2.642574927971429
Karmøy,59.2833,5.3,1.7947508221153736
Klepp,58.77,5.63,2.51476604121793
Kvitsøy,59.0667,5.4167,3.3980935436176227
Lund,58.4667,6.55,3.273363991042305
Randaberg,58.9833,5.6167,3.217233320868062
Sandnes,58.8524,5.7352,4.267555030438798
Sauda,59.65,6.35,1.777823386952444
Sokndal,58.3467,6.2896,2.159973600984349
Sola,58.8887,5.65,3.44490584636526
Stavanger,58.969,5.7331,2.7412644363446383
Strand,59.0222,6.04,3.7354122254751165
Time,58.725,5.73,3.0626673331729095
Tysvær,59.4,5.5,2.4016038806046804
Vindafjord,59.6,5.95,1.2086446947606793
Askøy,60.4,5.0,2.230513932899311
Bømlo,59.8,5.2,1.6270518387865465
Etne,59.7,5.9,1.6792521397366413
Fusa,60.2,5.7,3.004715217394216
Granvin,60.5,6.7,1.805050768578431
Jondal,60.3,6.3,1.2787448268557389
Kvam,60.4,6.1,0.6182145509089044
Kvinnherad,59.9,6.0,0.457948682943669
Lindås,60.7,5.3,2.105927874958139
Masfjorden,61.0,5.3,6.718754846905145
Meland,60.6,5.0,1.750632744224251
Modalen,60.8,5.7,0.5736701018843249
Odda,60.1,6.5,1.1434033380767004
Osterøy,60.5,5.6,0.7350784989039465
Voss,60.6,6.4,1.1169473803397578
Askvoll,61.3483,5.0736,1.7303843156513552
Aurland,60.9064,7.1949,1.4443508193353034
Jostedalsbreen – nær,61.684,6.8867,0.49522720178244484
Eid,61.9104,5.9987,1.9204117664456761
Fjaler,61.3669,5.4127,3.6514548383222327
Førde,61.4526,5.8621,4.829693459118359
Gaular,61.3954,5.9553,0.6414749544705189
Gulen,60.9847,5.2058,1.7060255726804296
Hornindal,62.0094,6.5231,0.6407510914554928
Hyllestad,61.2804,5.3018,2.3731646784428926
Høyanger,61.2165,6.0812,1.947882155515372
Jølster,61.5708,6.2531,0.8910474679337288
Leikanger,61.1844,6.8476,1.7099121282149294
Luster,61.4979,7.3292,0.8713883211205822
Lærdal,61.0992,7.4786,1.039843008745006
Naustdal,61.5092,5.7271,2.833449929481599
Sogndal,61.229,7.1034,2.1199840347115093
Solund,61.0918,4.8324,2.2072884474099776
Stryn,61.9018,6.7208,1.957857672852047
Vik,61.0674,6.5857,0.8651201915504618
Vågsøy,61.9357,5.1111,1.4686049822971743
Aukra,62.7922,6.9069,1.0066872691499535
Aure,63.2714,8.5233,1.5782992177283501
Averøy,63.0338,7.4897,2.0216736440244825
Eide,62.9163,7.3958,1.633851087461829
Fræna,62.8851,7.1286,1.46685696805232
Gjemnes,62.9667,7.7852,2.425161458746929
Halsa,63.0694,8.2603,1.8717918730981933
Hareid,62.3667,6.025,1.431174633842232
Herøy,65.9917,12.2833,1.3368376127565575
Kristiansund,63.1104,7.7279,2.252563647294532
Midsund,62.6766,6.7265,1.2455459730325653
Molde,62.7375,7.1591,1.0002619341773045
Nesset,62.7325,8.1725,0.6264550586314764
Norddal,62.2631,7.2497,0.7845168122444488
Rauma,62.5667,7.7,1.7811644088543077
Rindal,63.05,9.2,1.167224166105673
Skodje,62.4833,6.7167,1.4877546858505428
Smøla,63.44,8.0,1.4470271265280024
Stordal,62.3833,7.25,1.1448954572068564
Stranda,62.3167,6.9333,1.2666185038381743
Sunndal,62.6667,8.5667,1.0051702466297359
Surnadal,62.9833,8.7333,1.5693543839194473
Sykkylven,62.3833,6.5833,1.9998088830652592
Tingvoll,62.9167,8.2,1.189493058226098
Ulstein,62.346,5.844,1.1836604473096253
Volda,62.1444,6.0736,1.764459630094831
Ørskog,62.4667,6.7833,1.476228244076741
Fosnes,64.6753,11.2886,1.9094905744367177
Frosta,63.5833,10.7667,1.602374779676532
Frøya,63.7256,8.8347,1.2140875647194156
Grong,64.4561,12.3122,0.6797443494637332
Hemne,63.2903,9.0919,1.8461282434416277
Hitra,63.6033,8.9708,1.5017898161262644
Holtålen,62.84,11.3003,0.8757928003658123
Høylandet,64.6323,12.3029,2.4153463423866595
Inderøy,63.8756,11.2914,1.9783663240726177
Indre Fosen,63.5804,10.2241,1.160921775359016
Klæbu,63.3161,10.3947,1.020414652123297
Leka,65.0994,11.6528,1.3523814190868102
Levanger,63.7461,11.2994,1.7221870405059527
Lierne,64.4742,13.6019,1.085441074009492
Malvik,63.4211,10.8072,2.38011369309958
Meldal,63.0561,9.7122,0.9221667253416683
Meråker,63.4247,11.7444,2.9007381206507556
Midtre Gauldal,62.9525,10.4867,1.1921053892265838
Namsskogan,64.9239,13.1569,0.948166658074203
Oppdal,62.5944,9.6914,0.8193915826676074
Selbu,63.2167,11.0311,1.2746368419417793
Trondheim,63.4305,10.3951,1.8390562541628621
Tydal,63.0225,11.9325,0.8640889661754672
Verdal,63.7931,11.4814,1.736868401687165
Ørland,63.6881,9.6672,1.6228290561285164
Alstahaug,65.9442,12.4703,1.8602031251810072
Andøy,69.3,16.1333,1.2295995055323226
Ballangen,68.3417,16.8333,2.062264926088615
Beiarn,67.0333,14.5667,0.6059304874937325
Bodø,67.2804,14.4049,1.387890908270093
Dønna,66.0667,12.5167,1.090884846960632
Evenes,68.5,16.7667,0.8275411495044035
Fauske,67.2583,15.3906,3.513903937227928
Flakstad,68.1,13.25,0.84275101171121
Gildeskål,67.0333,14.0167,1.340976431111325
Grane,65.5667,13.3833,1.9463549457604097
Hamarøy,68.0833,15.6333,2.1309249580782703
Hattfjelldal,65.6,13.9833,1.247605520267356
Hemnes,66.2167,14.1,0.7357857994067198
Leirfjord,66.0833,12.8833,1.2090434572777684
Lødingen,68.4083,15.9933,1.0548024236002798
Moskenes,67.9167,13.0,0.47882917237668277
Narvik,68.4385,17.4279,1.6325522092748548
Nesna,66.1961,13.0194,1.2695622981189392
Rana,66.3106,14.1428,1.526283202640529
Saltdal,66.8667,15.3667,0.9705865322476362
Sortland,68.6986,15.4149,0.8808556900060968
Steigen,67.7833,15.0,1.6209172198787944
Sømna,65.3167,12.1833,2.3028525243637885
Sørfold,67.3833,15.6333,1.8630964257233507
Tjeldsund,68.5833,16.3667,0.5654007754567969
Tysfjord,68.1833,16.0,1.0285492132852752
Vefsn,65.8667,13.1833,1.8450716725238345
Vefsn - langs fjorden,65.8667,13.1833,1.6085017324178565
Vefsn - Mosjøen,65.8358,13.1903,1.5729266076423374
Vega,65.6833,11.9333,2.0690942833233095
Vestvågøy,68.25,13.6,0.7368481514364348
Værøy,67.6667,12.6833,0.721540482448219
Vågan,68.2833,14.5667,0.5759767368746568
Øksnes,68.9167,15.1667,0.9778720019744115
Balsfjord,69.2403,19.2186,1.2873990593197253
Bardu,68.8667,18.35,0.6878994851749105
Dyrøy,69.0928,17.7083,0.9382118681538082
Gáivuona/Kåfjord,69.4667,20.6333,0.7642490799071974
Gratangen,68.6167,17.5,0.8241366723555689
Harstad,68.7983,16.5414,1.3406582202958466
Ibestad,68.7833,17.1,0.9368978013964704
Kvæfjord,68.7667,16.3167,0.7242729421008857
Kvænangen,69.9333,22.0333,1.096745412438511
Lavangen,68.7667,17.7,0.80318294980667
Lenvik,69.3667,17.95,1.0234291782582159
Lyngen,69.5792,20.2083,1.0070706335500768
Målselv,69.1,18.6,0.8470870847341614
Nordreisa,69.75,21.0333,1.0474846957770423
Salangen,68.9167,17.8333,0.8172468550807125
Storfjord,69.3833,19.9833,1.421191115580112
Sørreisa,69.1461,18.1564,0.981341593441374
Tranøy,69.2,17.4167,1.2493491844447169
Alta,69.9689,23.2717,1.4293671812768476
Berlevåg,70.8578,29.0861,1.0232397060946066
Båtsfjord,70.6333,29.7333,1.0043699196282692
Deanu/Tana,70.2,28.1667,1.6190903716260798
Gamvik,71.05,28.2333,1.5300634097955343
Guovdageaidnu/Kautokeino,69.0111,23.0417,1.822119568451657
Hammerfest,70.6634,23.6821,1.073149869448998
Kárášjoga/Karasjok,69.4719,25.5114,1.000587277568083
Kvalsund,70.5075,24.0072,0.9113108944364905
Lebesby,70.5833,27.0,1.8104306327291722
Loppa,70.25,22.35,1.5123945891046924
Måsøy,71.0,24.6667,1.0731257164493027
Nordkapp,71.1667,25.7833,0.7970935186075071
Porsanger,70.0519,24.9719,0.9961920327382988
Sør-Varanger,69.6667,29.9833,1.2179371687498748
Unjárga/Nesseby,70.1492,28.8661,1.629108878356517
