Municipality,Latitude,Longitude,Beta
Nissedal,59.0922,8.5081,0.851415013908265
Nome,59.2908,9.0514,0.18326821396601023
Notodden,59.5603,9.2617,0.5864453886547558
Porsgrunn,59.1405,9.6561,0.8722594257516851
Sauherad,59.3978,9.2547,0.16117830009089573
Seljord,59.4781,8.6333,1.167206460374845
Siljan,59.2967,9.7006,0.20119623911753592
Skien,59.2096,9.5514,0.5093866464497596
Tinn,59.8663,8.6172,-0.36887741469930635
Tokke,59.4481,8.0267,0.15961367948066751
Vinje,59.5825,7.9769,-0.12322449695938076
Midt-Telemark,59.41307,9.06626,0.3416192234321205
Arendal,58.4615,8.7725,1.5935607808050518
Birkenes,58.3725,8.2375,0.5668331837405289
Bygland,58.83,7.8,0.8947915227361563
Bykle,59.35,7.35,-0.24048847289093356
Evje og Hornnes,58.56,7.8,0.3939444229602316
Froland,58.5186,8.6386,0.5261426932591848
Gjerstad,58.88,9.0,0.5094960291757098
Grimstad,58.34,8.5934,0.7385047996473961
Iveland,58.45,7.7833,0.5203840880656707
Lillesand,58.2486,8.3786,1.2309343495384448
Risør,58.72,9.2,0.8957797063669162
Tvedestrand,58.6197,8.9314,0.16130480592247132
Valle,59.2125,7.5356,0.7064089482263123
Vegårshei,58.75,8.9333,0.18642519747710695
Åmli,58.7667,8.5,0.6630426981926414
Audnedal,58.2833,7.3333,-0.1500775382835533
Farsund,58.09178,6.79499,0.9024645388707144
Flekkefjord,58.2975,6.6644,1.01296822954742
Hægebostad,58.35,7.1833,0.2552836694570835
Kristiansand,58.1467,7.9956,2.0932361688953893
Kvinesdal,58.3167,6.9667,0.32954632094578784
Lindesnes,58.0833,7.2833,1.8146899610640639
Lyngdal,58.1333,7.0667,1.8204751082596182
Mandal,58.0275,7.4536,1.988782074479274
Marnardal,58.2667,7.5333,0.3413689729401703
Sirdal,58.85,6.9,-0.447738258704808
Songdalen,58.2833,7.7167,0.5836577039646569
Søgne,58.0833,7.8167,1.9869902660313667
Vennesla,58.2667,7.9747,0.7269101811891643
