Municipality,Latitude,Longitude,Beta,Char
Horten,59.4175,10.4839,4.6277662884107,4.0
Larvik,59.0533,10.035,4.635164034377002,5.0
Re,59.4153,10.2581,3.9611013614535704,4.5
Sande,62.2,5.5,3.9628937363090353,2.5
Sandefjord,59.1313,10.2166,5.166072455652291,4.5
Svelvik,59.6108,10.4091,4.617487190852792,4.0
Tønsberg,59.2675,10.4076,4.711600074121921,4.0
Bamble,59.00141,9.74372,4.702832168554513,4.0
Bø,68.6667,14.55,3.4034107932951887,6.5
Drangedal,59.0961,9.0647,4.266367385877871,4.5
Fyresdal,59.1897,8.0894,4.478174362080013,4.5
Hjartdal,59.6058,8.5008,4.37013125552818,6.5
Kragerø,58.8683,9.4092,4.330515505917083,4.5
Kviteseid,59.4083,8.4931,5.527912940367994,6.5
Nissedal,59.0922,8.5081,4.566497486937289,4.5
Nome,59.2908,9.0514,4.3331633913042635,5.0
Notodden,59.5603,9.2617,5.028288072281388,4.0
Porsgrunn,59.1405,9.6561,4.74669108828425,4.0
Sauherad,59.3978,9.2547,4.931359579381587,4.0
Seljord,59.4781,8.6333,4.527527122785678,4.5
Siljan,59.2967,9.7006,3.984016168958101,5.0
Skien,59.2096,9.5514,4.720692380392251,4.0
Tinn,59.8663,8.6172,4.10843649625961,6.5
Tokke,59.4481,8.0267,5.251538875359534,6.5
Vinje,59.5825,7.9769,4.431392651398246,7.0
Midt-Telemark,59.41307,9.06626,4.29206616275536,4.0
Arendal,58.4615,8.7725,4.858962681445923,4.5
Birkenes,58.3725,8.2375,4.040224278764699,5.0
Bygland,58.83,7.8,4.605655838065675,4.5
Bykle,59.35,7.35,3.0890671063591144,5.0
Evje og Hornnes,58.56,7.8,4.618769065529341,4.5
Froland,58.5186,8.6386,3.801593946652958,4.5
Gjerstad,58.88,9.0,4.2079475780164115,5.5
Grimstad,58.34,8.5934,4.892911067419574,4.5
Iveland,58.45,7.7833,3.8874335590327718,4.5
Lillesand,58.2486,8.3786,5.093660919416575,4.5
Risør,58.72,9.2,4.604736102131864,4.5
Tvedestrand,58.6197,8.9314,4.250395627741627,4.5
Valle,59.2125,7.5356,4.436002066528951,5.0
Vegårshei,58.75,8.9333,3.528567378807563,4.5
Åmli,58.7667,8.5,4.521941762324946,5.5
Audnedal,58.2833,7.3333,4.679641193277926,5.0
Farsund,58.09178,6.79499,5.305105661563533,2.5
Flekkefjord,58.2975,6.6644,4.603383054598087,2.5
Hægebostad,58.35,7.1833,3.8663540593704675,6.0
Kristiansand,58.1467,7.9956,5.024864244437446,4.0
Kvinesdal,58.3167,6.9667,5.086895594319567,3.0
Lindesnes,58.0833,7.2833,4.1206864109922865,3.0
Lyngdal,58.1333,7.0667,5.0071928751108485,3.0
Mandal,58.0275,7.4536,4.494285640440045,3.5
Marnardal,58.2667,7.5333,4.469218454852114,5.0
Sirdal,58.85,6.9,2.606000387357335,6.5
Songdalen,58.2833,7.7167,4.124864088077472,5.5
Søgne,58.0833,7.8167,4.288571823400464,3.5
Vennesla,58.2667,7.9747,4.509835629475119,4.5
Åseral,58.61865,7.42083,3.7437683120743186,4.5
Bjerkreim,58.6458,6.0731,3.1350245367853287,2.5
Bokn,59.217,5.45,4.540360793564021,1.5
Eigersund,58.451,6.0048,4.61918392870634,2.0
Finnøy,59.1667,5.8333,4.804952635734972,1.5
Forsand,58.9078,6.238,5.633281381798212,3.5
Gjesdal,58.77,6.08,3.3337899328962637,3.0
Haugesund,59.417,5.27952,4.445409744158511,1.5
Hjelmeland,59.23,6.18,3.9934181940937954,1.5
Hå,58.6167,5.65,4.28584431754518,1.5
Karmøy,59.2833,5.3,4.393754034371873,1.5
Klepp,58.77,5.63,4.832063512235121,1.5
Kvitsøy,59.0667,5.4167,4.877570657316079,1.5
Lund,58.4667,6.55,5.377234640056017,4.0
Randaberg,58.9833,5.6167,5.134252771404705,1.5
Sandnes,58.8524,5.7352,5.103208150599534,1.5
Sauda,59.65,6.35,3.910853979557617,2.5
Sokndal,58.3467,6.2896,4.593685958523866,2.5
Sola,58.8887,5.65,5.145553747635499,1.5
Stavanger,58.969,5.7331,4.876443848581331,1.5
Strand,59.0222,6.04,4.538847781792772,1.5
Suldal,59.48625,6.25623,4.1898969133741835,2.5
Time,58.725,5.73,4.387164030688189,1.5
Tysvær,59.4,5.5,5.050858421490595,2.0
Vindafjord,59.6,5.95,2.9948595800751248,4.5
Askøy,60.4,5.0,4.571849502643852,1.5
Austrheim,60.7773,4.93244,4.0090490323030386,1.5
Bergen,60.39035,5.3177,4.886258046982478,2.0
Bømlo,59.8,5.2,4.15023824629052,1.5
Eidfjord,60.35153,7.35181,3.870154606032317,14.0
Etne,59.7,5.9,3.5262959354445407,4.0
Fedje,60.76451,4.72341,4.148061096814041,1.5
Fitjar,59.92343,5.32846,4.230247037010546,1.5
Fusa,60.2,5.7,3.91018743765382,4.0
Granvin,60.5,6.7,4.8485454502622325,5.0
Jondal,60.3,6.3,2.512595202973081,2.5
Kvam,60.4,6.1,2.5428089631423463,8.5
Kvinnherad,59.9,6.0,2.388892933538621,5.0
Lindås,60.7,5.3,4.578139340630818,2.5
Masfjorden,61.0,5.3,4.551407324546011,7.0
Meland,60.6,5.0,4.260814262474396,1.5
Modalen,60.8,5.7,2.31952607952663,9.0
Odda,60.1,6.5,3.522168222938268,10.5
Os,60.2,5.5,3.756503161022195,2.5
Osterøy,60.5,5.6,2.559691542109375,4.5
Voss,60.6,6.4,4.519312726025861,7.0
Øygarden,60.36319,5.11867,4.389894888020615,1.5
Ullensvang,60.06699,6.54544,4.4507548471049025,2.5
Alver,60.55122,5.28939,4.928437423079557,2.5
Vaksdal,60.5917,5.82262,3.310383362469136,3.5
Samnanger,60.39245,5.77437,4.678085925481496,3.0
Ulvik,60.5731,6.92183,3.895678838505153,3.0
Sveio,59.54494,5.35543,5.177898292596174,2.0
Stord,59.78143,5.49527,4.487163679374672,2.0
Tysnes,59.99905,5.49951,4.2252550786908785,2.0
Askvoll,61.3483,5.0736,4.603379724353209,2.5
Aurland,60.9064,7.1949,4.4508379488748275,2.5
Bremanger,61.76794,5.29806,2.868790841387026,2.5
Stad,61.9104,5.9987,4.38713172216127,4.0
Fjaler,61.3669,5.4127,4.716209251689381,4.0
Kinn,61.59204,5.01032,4.742989038201014,2.5
Førde,61.4526,5.8621,4.545338387032847,3.5
Gaular,61.3954,5.9553,2.8278389639485577,8.0
Gloppen,61.76946,6.23015,4.084982257764601,3.5
Gulen,60.9847,5.2058,2.892772300508767,4.5
Hornindal,62.0094,6.5231,2.7653856835090176,7.5
Hyllestad,61.2804,5.3018,3.798071844647259,4.5
Høyanger,61.2165,6.0812,3.74826158939828,2.5
Jølster,61.5708,6.2531,3.0407292435604796,7.5
Leikanger,61.1844,6.8476,3.533598786511114,2.5
Luster,61.4979,7.3292,3.4932419721053543,13.0
Lærdal,61.0992,7.4786,4.494855451945794,2.5
Naustdal,61.5092,5.7271,4.746182891653525,3.0
Sogndal,61.229,7.1034,3.339765639292379,2.5
Solund,61.0918,4.8324,3.914071783477578,2.0
Stryn,61.9018,6.7208,4.344810912591974,3.5
Vik,61.0674,6.5857,2.7310857466778367,2.5
Vågsøy,61.9357,5.1111,3.9485480278610083,2.5
Årdal,61.23825,7.72024,4.249330211326954,3.5
Sunnfjord,61.4929,5.54849,5.3998470575899535,4.5
Aukra,62.7922,6.9069,4.24738461020588,3.0
Aure,63.2714,8.5233,4.106847979511216,4.5
Averøy,63.0338,7.4897,4.5052924163139245,3.5
Hustadvika,62.9163,7.3958,3.4168828021062416,3.5
Fræna,62.8851,7.1286,3.8038389976284805,4.5
Giske,62.50491,6.0465,4.209063773511905,3.0
Gjemnes,62.9667,7.7852,4.861802224427562,4.5
Halsa,63.0694,8.2603,4.0409398402858265,4.5
Haram,62.59971,6.4387,3.828303062645473,2.5
Hareid,62.3667,6.025,4.016500357844378,3.0
Herøy,65.9917,12.2833,3.7904770014637332,2.5
Kristiansund,63.1104,7.7279,4.364058904217551,3.5
Midsund,62.6766,6.7265,5.310142860446611,6.0
Molde,62.7375,7.1591,4.212522739203344,3.5
Nesset,62.7325,8.1725,3.112887750267479,10.5
Norddal,62.2631,7.2497,3.1241034269695063,7.5
Rauma,62.5667,7.7,4.528947600522985,4.5
Rindal,63.05,9.2,4.194792943350022,4.5
Skodje,62.4833,6.7167,4.40774228181702,4.0
Smøla,63.44,8.0,3.8269523107655283,2.5
Stordal,62.3833,7.25,3.6416165381495182,11.5
Stranda,62.3167,6.9333,4.194558310746771,4.5
Sula,61.1159,4.96715,4.60331930539405,4.0
Sunndal,62.6667,8.5667,4.1527996289765925,4.5
Surnadal,62.9833,8.7333,3.901809471471439,4.5
Sykkylven,62.3833,6.5833,4.085671656531637,5.5
Tingvoll,62.9167,8.2,4.386441766285818,4.5
Ulstein,62.346,5.844,3.841434741853136,3.0
Vanylven,62.10641,5.56983,3.946375192125391,3.0
Vestnes,62.62959,7.08469,4.505892260881714,3.5
Volda,62.1444,6.0736,4.430411151287647,4.0
Ørskog,62.4667,6.7833,4.592909166542216,4.0
Fjord,62.3051,7.26369,5.211368932529738,6.5
Ørsta,62.19982,6.12905,4.325819728219338,4.5
Ålesund,62.47478,6.1865,3.5823814437317703,3.0
Flatanger,64.50182,10.89724,4.2063315122465195,3.0
Fosnes,64.6753,11.2886,4.3191014600939965,4.0
Frosta,63.5833,10.7667,3.8319927902256703,2.5
Frøya,63.7256,8.8347,4.064908370039965,2.5
Grong,64.4561,12.3122,2.873481155724636,3.0
Heim,63.2903,9.0919,4.575938349443114,4.5
Hitra,63.6033,8.9708,4.409739436109445,3.5
Holtålen,62.84,11.3003,3.6695345879880312,4.5
Høylandet,64.6323,12.3029,4.216609197653782,6.0
Inderøy,63.8756,11.2914,4.469128273240702,4.5
Indre Fosen,63.5804,10.2241,4.002512178898042,7.5
Klæbu,63.3161,10.3947,3.9813104504441617,5.0
Leka,65.0994,11.6528,3.2056724353227106,2.5
Levanger,63.7461,11.2994,4.607838336393872,4.0
Lierne,64.4742,13.6019,4.110149230600883,6.5
Malvik,63.4211,10.8072,4.701763316159785,3.5
Orkland,63.0561,9.7122,4.546069897372941,6.5
Meråker,63.4247,11.7444,4.0160155128736195,4.5
Midtre Gauldal,62.9525,10.4867,4.50608490145531,6.5
Namsos - Nåavmesjenjaelmie,64.47119,11.50364,3.6255199678981502,4.0
Namsskogan,64.9239,13.1569,3.8463541002416113,7.5
Oppdal,62.5944,9.6914,3.6100648175233836,4.5
Selbu,63.2167,11.0311,4.21719773674896,3.5
Trondheim - Tråante,63.4305,10.3951,4.147183857828384,3.5
Tydal,63.0225,11.9325,3.8268133397473534,7.5
Verdal,63.7931,11.4814,4.638877450127649,3.5
Ørland,63.6881,9.6672,4.126322204136949,3.0
Stjørdal,63.46802,10.93058,4.627153439885595,3.5
Osen,64.30454,10.53651,3.3517087246570156,3.0
Skaun,63.3261,10.04314,4.201594435944436,5.0
Melhus,63.28568,10.28068,4.775161714652463,4.0
Nærøysund,64.86948,11.23734,3.692086877750853,2.5
Steinkjer,64.01206,11.50389,4.087970253169617,3.5
Åfjord,63.9647,10.23636,4.1777315697269035,3.0
Rennebu,62.82901,10.00342,3.8347062816013744,4.5
