Municipality,Latitude,Longitude,Beta,Char
Re,59.4153,10.2581,5.953488197807018,4.5
Sande,62.2,5.5,7.12345648906172,2.5
Sandefjord,59.1313,10.2166,1.0,4.5
Svelvik,59.6108,10.4091,6.919394628045915,4.0
Tønsberg,59.2675,10.4076,6.5169780223692335,4.0
Bamble,59.00141,9.74372,7.271823843315069,4.0
Bø,68.6667,14.55,6.296608360501139,6.5
Drangedal,59.0961,9.0647,1.0,4.5
Fyresdal,59.1897,8.0894,5.700553551476795,4.5
Hjartdal,59.6058,8.5008,4.526113342205331,6.5
Kragerø,58.8683,9.4092,1.0,4.5
Kviteseid,59.4083,8.4931,1.0,6.5
Nissedal,59.0922,8.5081,10.562724752478852,4.5
Nome,59.2908,9.0514,1.0,5.0
Notodden,59.5603,9.2617,9.48680314101165,4.0
Porsgrunn,59.1405,9.6561,1.0,4.0
Sauherad,59.3978,9.2547,7.3300840402949285,4.0
Seljord,59.4781,8.6333,6.548834448463542,4.5
Siljan,59.2967,9.7006,5.184276552121042,5.0
Skien,59.2096,9.5514,1.0,4.0
Tinn,59.8663,8.6172,3.499371217964031,6.5
Tokke,59.4481,8.0267,8.157208163734266,6.5
Vinje,59.5825,7.9769,5.537223518156579,7.0
Midt-Telemark,59.41307,9.06626,7.263206655985768,4.0
Arendal,58.4615,8.7725,6.105915065284337,4.5
Birkenes,58.3725,8.2375,5.133885383920043,5.0
Bygland,58.83,7.8,7.5796379254982424,4.5
Bykle,59.35,7.35,4.094611881336728,5.0
Evje og Hornnes,58.56,7.8,6.854809977678748,4.5
Froland,58.5186,8.6386,6.276915887490272,4.5
Gjerstad,58.88,9.0,1.0,5.5
Grimstad,58.34,8.5934,5.944129218560729,4.5
Iveland,58.45,7.7833,5.590336164892504,4.5
Lillesand,58.2486,8.3786,6.127673517731064,4.5
Risør,58.72,9.2,6.139930387453441,4.5
Tvedestrand,58.6197,8.9314,6.57976895096553,4.5
Valle,59.2125,7.5356,5.1258999175891855,5.0
Vegårshei,58.75,8.9333,6.148262421205677,4.5
Åmli,58.7667,8.5,5.863144767072175,5.5
Audnedal,58.2833,7.3333,6.0207793818956565,5.0
Farsund,58.09178,6.79499,6.66198695476324,2.5
Flekkefjord,58.2975,6.6644,6.270148265564951,2.5
Hægebostad,58.35,7.1833,5.373461334797018,6.0
Kristiansand,58.1467,7.9956,5.848874240737175,4.0
Kvinesdal,58.3167,6.9667,6.845334194012343,3.0
Lindesnes,58.0833,7.2833,6.560022738255907,3.0
Lyngdal,58.1333,7.0667,6.691744574809302,3.0
Mandal,58.0275,7.4536,6.284935836064178,3.5
Marnardal,58.2667,7.5333,6.078336392739161,5.0
Sirdal,58.85,6.9,4.198264072287467,6.5
Songdalen,58.2833,7.7167,5.267250688581448,5.5
Søgne,58.0833,7.8167,6.002256263674465,3.5
Vennesla,58.2667,7.9747,6.01488758790047,4.5
Åseral,58.61865,7.42083,5.650382405954352,4.5
Bjerkreim,58.6458,6.0731,5.493824297140098,2.5
Bokn,59.217,5.45,6.090208045040338,1.5
Eigersund,58.451,6.0048,6.317068180990999,2.0
Finnøy,59.1667,5.8333,6.191946997684055,1.5
Forsand,58.9078,6.238,7.8727626146649925,3.5
Gjesdal,58.77,6.08,6.125180030852517,3.0
Haugesund,59.417,5.27952,6.318799967112608,1.5
Hjelmeland,59.23,6.18,5.952668621391768,1.5
Hå,58.6167,5.65,5.688094029245394,1.5
Karmøy,59.2833,5.3,6.184880613779087,1.5
Klepp,58.77,5.63,5.796733831670937,1.5
Kvitsøy,59.0667,5.4167,5.75336008688217,1.5
Lund,58.4667,6.55,7.362013675215174,4.0
Randaberg,58.9833,5.6167,6.01428413132577,1.5
Sandnes,58.8524,5.7352,5.702250262337571,1.5
Sauda,59.65,6.35,5.992788892792084,2.5
Sokndal,58.3467,6.2896,6.4622396207210375,2.5
Sola,58.8887,5.65,5.858782377198528,1.5
Stavanger,58.969,5.7331,6.026488620181304,1.5
Strand,59.0222,6.04,5.672430373333191,1.5
Suldal,59.48625,6.25623,6.061707152801577,2.5
Time,58.725,5.73,5.630272850980454,1.5
Tysvær,59.4,5.5,7.010433360542508,2.0
Vindafjord,59.6,5.95,6.350754340305522,4.5
Askøy,60.4,5.0,6.305500026858697,1.5
