Municipality,Latitude,Longitude,Beta,Char
Hole,60.0654,10.2778,3.7999984433966825,2.0078200448800056
Hurum,59.631,10.5035,3.7999997385536735,3.9344507784794667
Kongsberg,59.6775,9.6502,3.7999992992383467,3.043706301963086
Krødsherad,60.1767,9.6869,3.800000805333137,3.726125799927897
Lier,59.7885,10.3044,3.8000005268255967,4.566421135585567
Modum,59.9446,9.9872,3.800000800251122,2.530959723075576
Nedre Eiker,59.7701,10.0706,3.7999992838206786,3.3725396312170512
Nore og Uvdal,60.2657,8.7302,3.79999945783804,3.2798942976245966
Ringerike,60.168,10.256,3.799999057481995,2.237682459675091
Rollag,60.0261,9.3006,3.800001082584795,4.481569932124302
Røyken,59.7461,10.4053,3.800000910661638,3.59056257639876
Sigdal,60.1711,9.6253,3.799999937627833,3.579480832748811
Øvre Eiker,59.7765,9.9047,3.7999993859174723,2.2855569861322835
Ål,60.6297,8.5623,3.79999908612806,3.044904556245707
Nesbyen,60.56484,9.08917,3.8000019233516493,2.440605746501893
Færder,59.22764,10.4205,3.800000986425689,2.299129962219047
Hof,59.525,10.1433,3.800000578206613,3.9472592611619057
Holmestrand,59.4881,10.3153,3.8000006665299595,3.4569620293416645
Horten,59.4175,10.4839,3.8000004246025725,2.5393975160673
Larvik,59.0533,10.035,3.8000000884084635,3.1580745883965458
Re,59.4153,10.2581,3.7999995851108888,4.10218381330783
Sande,62.2,5.5,3.7999996173893904,2.277879480735696
Sandefjord,59.1313,10.2166,3.7999984753420892,2.1763880420085413
Svelvik,59.6108,10.4091,3.7999994543719997,2.5529960943416885
Tønsberg,59.2675,10.4076,3.8000009068087834,2.4317942964614003
Bamble,59.00141,9.74372,3.7999992778441753,2.4427753222535005
Bø,68.6667,14.55,3.7999998572440057,8.24124971597525
Drangedal,59.0961,9.0647,3.8000000143811765,3.4612205454422207
Fyresdal,59.1897,8.0894,3.799999887629603,3.088348851482116
Hjartdal,59.6058,8.5008,3.799999483603132,4.722956350497108
Kragerø,58.8683,9.4092,3.800000157276217,3.3427041952217507
Kviteseid,59.4083,8.4931,3.800001042704395,2.627260772819858
Nissedal,59.0922,8.5081,3.8000009663067758,2.94766204919785
Nome,59.2908,9.0514,3.8000006374182638,3.707889971911317
Notodden,59.5603,9.2617,3.800000386983753,2.073475936391882
Porsgrunn,59.1405,9.6561,3.8000014446294803,2.3884516864118255
Sauherad,59.3978,9.2547,3.8000005413676545,2.1756154058177724
Seljord,59.4781,8.6333,3.8000006477962587,3.008737115816932
Siljan,59.2967,9.7006,3.7999995266952005,4.4989347469140695
Skien,59.2096,9.5514,3.800000287009625,2.42046896348026
