Municipality,Latitude,Longitude,Beta
Kvinnherad,59.9,6.0,2.388892933538621
Lindås,60.7,5.3,4.578139340630818
Masfjorden,61.0,5.3,4.551407324546011
Meland,60.6,5.0,4.260814262474396
Modalen,60.8,5.7,2.31952607952663
Odda,60.1,6.5,3.522168222938268
Os,60.2,5.5,3.756503161022195
Osterøy,60.5,5.6,2.559691542109375
Voss,60.6,6.4,4.519312726025861
Øygarden,60.36319,5.11867,4.389894888020615
Ullensvang,60.06699,6.54544,4.4507548471049025
Alver,60.55122,5.28939,4.928437423079557
Vaksdal,60.5917,5.82262,3.310383362469136
Samnanger,60.39245,5.77437,4.678085925481496
Ulvik,60.5731,6.92183,3.895678838505153
Sveio,59.54494,5.35543,5.177898292596174
Stord,59.78143,5.49527,4.487163679374672
Tysnes,59.99905,5.49951,4.2252550786908785
Askvoll,61.3483,5.0736,4.603379724353209
Aurland,60.9064,7.1949,4.4508379488748275
Bremanger,61.76794,5.29806,2.868790841387026
Stad,61.9104,5.9987,4.38713172216127
Fjaler,61.3669,5.4127,4.716209251689381
Kinn,61.59204,5.01032,4.742989038201014
Førde,61.4526,5.8621,4.545338387032847
Gaular,61.3954,5.9553,2.8278389639485577
Gloppen,61.76946,6.23015,4.084982257764601
Gulen,60.9847,5.2058,2.892772300508767
Hornindal,62.0094,6.5231,2.7653856835090176
Hyllestad,61.2804,5.3018,3.798071844647259
Høyanger,61.2165,6.0812,3.74826158939828
Jølster,61.5708,6.2531,3.0407292435604796
Leikanger,61.1844,6.8476,3.533598786511114
Luster,61.4979,7.3292,3.4932419721053543
Lærdal,61.0992,7.4786,4.494855451945794
Naustdal,61.5092,5.7271,4.746182891653525
Sogndal,61.229,7.1034,3.339765639292379
Solund,61.0918,4.8324,3.914071783477578
Stryn,61.9018,6.7208,4.344810912591974
Vik,61.0674,6.5857,2.7310857466778367
Vågsøy,61.9357,5.1111,3.9485480278610083
Årdal,61.23825,7.72024,4.249330211326954
Sunnfjord,61.4929,5.54849,5.3998470575899535
Aukra,62.7922,6.9069,4.24738461020588
Aure,63.2714,8.5233,4.106847979511216
Averøy,63.0338,7.4897,4.5052924163139245
Hustadvika,62.9163,7.3958,3.4168828021062416
Fræna,62.8851,7.1286,3.8038389976284805
Giske,62.50491,6.0465,4.209063773511905
Gjemnes,62.9667,7.7852,4.861802224427562
Halsa,63.0694,8.2603,4.0409398402858265
