Municipality,Elevation
Nord-Fron,"[253.95, 248.75, 248.91, 246.17, 245.53, 243.97, 242.51, 240.56, 240.48, 252.59, 250.36, 248.92, 247.96, 248.33, 240.44, 239.76, 235.58, 236.62, 255.0, 253.41, 248.48, 247.39, 243.74, 243.49, 239.35, 238.75, 237.21, 262.36, 249.89, 249.86, 248.98, 242.11, 242.57, 241.08, 238.84, 236.93, 262.49, 259.9, 249.6, 249.05, 244.79, 240.95, 241.81, 239.7, 236.6, 260.44, 258.98, 248.88, 249.63, 241.14, 240.53, 240.01, 237.15, 234.6, 258.79, 257.68, 256.07, 247.31, 244.12, 239.16, 236.03, 235.67, 235.17, 257.66, 256.42, 255.01, 252.96, 249.73, 236.37, 236.21, 235.89, 240.21, 251.56, 241.6, 236.36, 239.84, 241.0, 247.17, 241.13, 253.81, 262.3]"
Nordre Land,"[571.18, 562.32, 550.64, 571.12, 561.56, 543.98, 541.96, 541.87, 512.89, 573.41, 542.77, 541.23, 537.0, 522.07, 507.86, 491.06, 468.51, 459.3, 536.79, 525.28, 519.09, 512.2, 490.57, 489.83, 488.59, 450.95, 438.72, 510.33, 506.86, 486.45, 456.0, 473.33, 474.36, 440.07, 390.13, 382.42, 437.77, 430.51, 408.09, 396.07, 400.44, 366.47, 345.44, 326.12, 311.85, 331.88, 328.08, 315.1, 310.85, 297.0, 288.16, 286.12, 280.55, 279.37, 285.1, 284.05, 283.01, 281.32, 277.54, 274.78, 273.9, 275.51, 271.36, 265.17, 262.07, 262.81, 262.31, 259.54, 258.25, 260.31, 257.12, 256.07, 240.73, 237.33, 237.98, 238.5, 236.7, 236.83, 229.37, 222.31, 220.0]"
Ringebu,"[184.33, 184.84, 185.38, 185.37, 185.11, 185.61, 186.31, 188.48, 187.42, 186.24, 186.81, 186.8, 186.98, 187.66, 188.13, 187.8, 187.19, 186.63, 185.51, 187.77, 188.07, 189.29, 188.83, 188.73, 189.46, 188.18, 187.55, 188.31, 190.39, 190.17, 189.62, 190.83, 190.61, 190.74, 189.01, 188.45, 190.24, 191.56, 192.17, 191.45, 191.53, 191.63, 191.7, 190.79, 189.88, 191.69, 193.32, 192.41, 192.56, 192.23, 192.58, 192.54, 191.05, 205.87, 194.74, 194.66, 194.34, 191.66, 191.24, 194.11, 192.42, 196.2, 245.17, 196.22, 197.01, 196.6, 194.76, 195.64, 194.03, 204.75, 240.85, 265.2, 197.08, 195.55, 204.79, 235.33, 264.02, 282.14, 252.31, 275.01, 296.29]"
Sel,"[1199.68, 1217.28, 1219.88, 1213.18, 1232.49, 1218.42, 1197.29, 1190.59, 1184.4, 1223.7, 1235.42, 1219.63, 1192.72, 1165.32, 1153.74, 1145.93, 1140.83, 1125.12, 1208.21, 1207.09, 1188.16, 1163.68, 1144.66, 1125.72, 1134.27, 1129.15, 1115.29, 1169.02, 1155.63, 1147.57, 1130.31, 1121.77, 1107.53, 1104.42, 1100.69, 1098.15, 1118.62, 1106.14, 1108.51, 1100.4, 1093.31, 1081.19, 1079.63, 1076.89, 1068.67, 1089.99, 1065.63, 1061.16, 1068.49, 1063.94, 1060.29, 1051.43, 1052.21, 1043.61, 1066.29, 1038.78, 1021.53, 1031.42, 1034.26, 1030.48, 1018.8, 1026.53, 1013.92, 1041.68, 1011.41, 988.67, 993.84, 991.08, 988.93, 982.74, 971.63, 976.93, 939.12, 938.66, 944.12, 935.19, 922.15, 919.71, 862.63, 851.49, 846.52]"
Skjåk,"[493.87, 487.86, 475.78, 470.91, 472.97, 459.96, 460.46, 453.08, 448.15, 444.22, 457.28, 448.29, 442.9, 439.79, 432.87, 430.24, 429.69, 426.81, 443.45, 435.95, 427.53, 422.76, 419.84, 419.27, 415.21, 412.83, 409.76, 429.39, 423.85, 416.66, 411.73, 404.83, 402.94, 401.88, 400.39, 399.7, 415.52, 410.03, 407.08, 403.56, 398.05, 397.94, 398.46, 398.42, 398.42, 406.96, 400.84, 398.22, 399.11, 400.95, 402.2, 403.58, 404.22, 403.76, 403.2, 400.37, 401.5, 402.72, 400.7, 404.96, 404.74, 404.81, 403.7, 398.25, 401.47, 402.61, 401.04, 405.0, 403.54, 404.46, 403.55, 403.5, 401.27, 404.07, 404.8, 404.92, 400.93, 404.51, 405.07, 404.53, 401.78, 404.71]"
Søndre Land,"[135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 149.38, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 141.88, 155.4, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 146.31, 156.59, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 149.01, 159.88, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 134.34, 154.29, 168.29, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 144.84, 163.96, 174.61, 135.0, 135.0, 135.0, 135.0, 135.0, 135.0, 147.1, 169.07, 178.41, 135.0, 135.0, 135.0, 154.42, 170.84, 179.79, 150.34, 168.76, 181.17]"
Sør-Aurdal,"[834.0, 826.57, 773.86, 822.26, 814.19, 765.74, 690.66, 619.51, 573.4, 812.73, 801.51, 735.0, 669.67, 586.5, 550.52, 522.96, 502.64, 485.19, 773.47, 771.36, 705.42, 630.64, 560.85, 525.98, 506.33, 491.3, 470.27, 720.39, 695.53, 678.35, 633.36, 541.67, 504.98, 486.23, 471.64, 454.62, 682.82, 660.89, 635.78, 612.4, 525.95, 493.07, 466.95, 455.81, 443.91, 663.06, 632.14, 605.26, 574.24, 506.34, 473.93, 452.57, 432.44, 424.51, 611.97, 610.79, 565.34, 533.37, 487.55, 458.28, 435.07, 423.15, 399.64, 592.68, 552.52, 536.22, 507.24, 471.38, 445.68, 426.31, 411.53, 391.33, 486.81, 463.86, 442.68, 423.28, 399.87, 368.13, 407.36, 384.03, 364.05]"
Sør-Fron,"[265.46, 285.51, 307.14, 286.38, 308.25, 314.97, 336.23, 370.39, 401.29, 305.41, 319.7, 334.8, 368.92, 383.78, 410.42, 441.91, 450.1, 461.49, 315.18, 330.18, 360.95, 374.66, 392.02, 423.49, 445.74, 457.94, 474.05, 319.86, 332.85, 362.58, 382.34, 404.46, 429.06, 448.27, 471.63, 478.1, 320.39, 345.56, 369.4, 388.88, 413.47, 433.15, 461.56, 482.36, 487.38, 331.78, 348.8, 369.85, 394.68, 419.94, 445.82, 474.48, 490.46, 494.74, 336.62, 359.05, 383.0, 398.57, 425.34, 451.84, 478.9, 502.37, 507.31, 339.94, 369.69, 386.19, 406.14, 435.28, 466.63, 497.22, 511.45, 521.5, 420.9, 453.9, 487.86, 522.45, 531.16, 548.45, 562.21, 569.53, 575.38]"
Vang,"[525.73, 529.11, 518.65, 519.29, 505.59, 495.9, 491.58, 492.28, 495.57, 500.68, 485.36, 484.29, 477.94, 482.36, 484.85, 486.83, 491.92, 489.58, 490.71, 471.03, 471.25, 470.77, 471.44, 478.48, 474.63, 478.36, 481.01, 483.27, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 472.98, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0, 466.0]"
Vestre Slidre,"[381.09, 373.0, 388.66, 379.86, 374.95, 366.74, 367.14, 378.53, 378.16, 366.0, 366.44, 366.0, 366.0, 382.17, 366.0, 366.0, 366.0, 366.0, 373.15, 366.0, 366.0, 375.04, 376.3, 367.33, 366.0, 366.0, 379.34, 380.63, 365.9, 366.0, 368.18, 366.0, 366.0, 369.16, 373.83, 372.41, 379.5, 378.16, 366.0, 366.0, 366.0, 366.0, 366.0, 366.0, 371.13, 379.35, 377.54, 366.0, 366.0, 366.0, 366.0, 366.0, 366.0, 370.81, 378.98, 371.23, 366.0, 366.0, 366.0, 366.0, 366.0, 366.0, 375.43, 381.87, 366.0, 366.0, 366.0, 366.0, 366.0, 366.0, 374.05, 378.29, 392.82, 366.0, 366.0, 370.4, 382.24, 392.98, 417.11, 377.05, 394.16, 420.55, 435.12]"
Vestre Toten,"[344.81, 352.4, 355.59, 341.21, 346.12, 352.85, 359.85, 368.69, 374.84, 380.22, 338.36, 340.67, 348.0, 358.2, 365.98, 370.33, 375.35, 378.06, 379.16, 332.46, 336.95, 348.5, 354.54, 360.57, 364.11, 368.63, 372.44, 372.62, 327.66, 334.65, 339.8, 350.93, 355.67, 359.46, 361.96, 364.64, 366.14, 324.75, 331.94, 337.91, 346.2, 349.94, 354.64, 356.98, 359.19, 360.87, 317.01, 326.88, 334.21, 340.72, 346.28, 348.25, 352.55, 355.16, 359.43, 314.36, 320.5, 329.95, 335.88, 342.89, 344.95, 350.52, 353.21, 360.32, 315.43, 314.79, 325.37, 334.98, 341.95, 342.74, 348.02, 351.59, 359.52, 322.49, 333.95, 339.85, 342.71, 346.19, 350.11, 358.67, 344.96, 349.01, 356.61]"
Vågå,"[963.5, 982.19, 1020.17, 1025.02, 996.09, 1033.41, 1041.22, 1021.65, 997.87, 974.86, 1043.43, 1051.38, 1038.53, 1018.37, 984.32, 963.65, 926.84, 873.24, 884.71, 1034.21, 1037.09, 1025.06, 1005.03, 973.04, 953.68, 925.73, 912.06, 897.26, 1036.59, 1031.01, 1004.69, 978.6, 964.74, 945.27, 934.74, 929.34, 918.38, 1034.31, 1010.2, 990.87, 984.67, 966.53, 944.87, 955.67, 947.62, 940.14, 1035.01, 1009.81, 991.85, 972.87, 965.05, 970.15, 971.06, 967.56, 953.66, 1022.95, 1009.11, 998.15, 981.34, 984.74, 985.88, 983.39, 980.76, 960.43, 1027.44, 1018.19, 1000.27, 1003.56, 1007.4, 1004.49, 997.96, 986.51, 952.94, 1016.92, 1017.94, 1016.49, 1000.58, 985.15, 989.44, 1019.05, 1009.29, 1005.13, 1001.75]"
Østre Toten,"[235.09, 230.37, 232.8, 237.12, 234.09, 233.46, 237.48, 243.76, 251.95, 249.18, 237.53, 238.23, 239.35, 239.78, 245.16, 257.99, 248.22, 257.76, 258.75, 243.04, 238.82, 240.13, 240.32, 242.94, 245.34, 247.12, 254.24, 258.85, 243.84, 242.94, 240.25, 239.21, 241.18, 243.02, 245.5, 252.16, 254.01, 248.94, 242.76, 241.21, 238.62, 241.28, 239.99, 242.43, 245.26, 244.84, 253.44, 245.33, 240.88, 239.53, 238.13, 238.04, 237.62, 237.68, 239.57, 251.26, 249.28, 241.27, 237.16, 236.62, 233.17, 238.48, 228.97, 230.45, 252.3, 245.15, 240.74, 235.99, 232.11, 232.56, 227.22, 216.86, 222.8, 235.52, 231.63, 232.26, 223.19, 217.32, 209.99, 205.18, 198.67, 199.54, 194.33]"
Øyer,"[198.06, 213.68, 214.19, 202.24, 213.34, 207.53, 186.1, 178.14, 172.09, 213.66, 209.03, 191.96, 180.31, 172.12, 172.09, 176.83, 179.72, 179.45, 210.4, 192.72, 180.04, 174.6, 172.17, 177.02, 179.28, 177.29, 182.31, 198.99, 185.58, 176.17, 172.29, 176.43, 178.15, 182.81, 188.2, 195.32, 188.26, 178.85, 172.31, 172.3, 176.79, 186.97, 193.77, 202.68, 211.21, 178.47, 172.32, 172.33, 172.33, 181.14, 195.52, 201.07, 209.88, 227.63, 172.33, 172.33, 172.33, 177.48, 187.93, 196.74, 203.65, 221.46, 246.44, 172.32, 172.33, 174.42, 187.01, 191.44, 203.84, 225.52, 248.93, 276.58, 193.27, 208.59, 232.06, 258.61, 287.33, 330.89, 282.54, 316.91, 348.96]"
Øystre Slidre,"[808.49, 810.82, 815.76, 817.58, 813.95, 818.61, 819.57, 819.45, 821.71, 827.54, 819.0, 820.11, 821.32, 824.82, 833.31, 840.87, 849.61, 849.6, 857.66, 821.79, 823.0, 829.93, 838.11, 845.95, 855.35, 855.47, 867.36, 869.85, 828.96, 835.83, 840.96, 850.18, 859.36, 863.71, 869.09, 875.57, 874.37, 840.86, 847.6, 853.1, 862.35, 871.02, 878.68, 885.36, 879.06, 875.57, 851.76, 856.24, 864.68, 870.31, 883.58, 894.83, 883.07, 877.92, 882.57, 859.42, 865.37, 871.88, 876.64, 888.56, 879.13, 874.31, 875.74, 882.06, 867.52, 871.39, 873.04, 875.84, 874.43, 874.46, 875.14, 879.9, 885.69, 873.36, 875.63, 880.4, 883.57, 885.95, 889.05, 884.09, 887.15, 890.35, 898.86]"
Drammen,"[-0.04, 1.16, 2.12, 2.44, 3.09, 4.41, 5.57, 8.32, 12.2, 3.89, 3.86, 6.15, 10.44, 14.59, 19.73, 23.11, 24.81, 23.4, 5.88, 5.95, 10.31, 14.84, 22.06, 29.06, 40.7, 43.34, 39.97, 10.23, 13.02, 16.98, 21.35, 37.6, 48.95, 59.2, 61.91, 56.66, 16.94, 21.22, 30.52, 39.13, 55.99, 65.53, 76.52, 70.11, 72.46, 29.86, 60.69, 51.39, 59.85, 74.64, 89.69, 85.82, 87.17, 87.67, 84.7, 101.18, 94.61, 106.8, 121.03, 109.94, 104.93, 111.73, 108.9, 128.69, 137.19, 136.34, 157.4, 160.51, 124.29, 121.48, 126.44, 113.99, 185.76, 173.03, 160.89, 154.85, 132.35, 125.02, 186.96, 167.38, 141.03]"
Flesberg,"[185.14, 179.99, 180.24, 183.26, 179.38, 185.5, 188.32, 182.21, 186.35, 185.46, 185.8, 186.1, 182.67, 187.98, 189.52, 192.51, 205.81, 238.06, 192.45, 195.08, 197.04, 191.05, 192.75, 197.54, 193.13, 206.0, 245.84, 190.95, 195.75, 204.88, 193.1, 197.51, 201.37, 191.9, 220.82, 249.56, 195.09, 192.32, 195.6, 199.53, 205.49, 215.11, 203.05, 221.64, 259.87, 192.88, 192.14, 194.55, 209.11, 215.05, 221.32, 204.53, 227.0, 255.8, 192.46, 199.9, 198.4, 214.71, 227.4, 224.55, 213.64, 236.79, 252.04, 195.18, 197.78, 211.32, 224.94, 234.85, 232.23, 230.36, 237.89, 254.44, 226.09, 235.79, 236.83, 238.0, 245.94, 257.37, 240.52, 247.9, 265.35]"
Flå,"[144.66, 141.9, 134.98, 138.59, 141.39, 138.13, 135.01, 144.6, 142.74, 135.48, 143.48, 139.23, 135.01, 144.44, 143.79, 142.26, 140.69, 138.4, 141.19, 145.16, 142.32, 135.03, 143.81, 143.32, 142.57, 145.5, 142.76, 145.01, 143.71, 143.15, 135.02, 156.91, 146.65, 148.97, 149.54, 149.86, 145.52, 143.17, 135.95, 135.06, 158.84, 167.65, 154.02, 157.02, 158.7, 144.7, 142.62, 135.04, 135.1, 160.53, 161.8, 165.98, 178.8, 167.46, 135.08, 135.07, 135.05, 138.72, 154.05, 158.42, 170.01, 187.9, 171.1, 135.04, 139.54, 148.36, 151.16, 157.17, 166.21, 181.81, 191.2, 200.76, 154.47, 157.57, 181.82, 194.45, 200.59, 214.45, 209.26, 212.81, 217.28]"
Gol,"[210.12, 208.93, 208.6, 221.0, 220.88, 218.41, 212.0, 214.66, 211.15, 229.0, 226.11, 220.78, 218.85, 215.63, 213.21, 210.57, 206.73, 203.09, 230.88, 227.01, 223.32, 220.06, 217.17, 215.45, 213.88, 213.38, 210.98, 236.49, 234.07, 231.59, 229.19, 226.93, 224.8, 218.52, 218.94, 217.55, 242.12, 239.67, 238.35, 233.34, 235.22, 230.85, 227.21, 226.39, 231.74, 250.13, 250.13, 250.97, 250.35, 251.46, 248.06, 242.85, 246.11, 256.02, 258.34, 258.62, 262.16, 264.89, 270.35, 268.66, 270.02, 280.36, 286.92, 267.43, 272.76, 276.72, 281.07, 294.94, 300.26, 306.54, 311.39, 325.85, 331.93, 351.27, 347.78, 328.93, 343.18, 358.33, 376.58, 369.5, 373.75, 390.14]"
Hemsedal,"[645.83, 647.19, 633.44, 630.42, 641.78, 636.98, 633.12, 628.19, 620.43, 617.59, 642.63, 638.97, 624.23, 618.28, 615.38, 614.93, 615.02, 617.28, 613.61, 619.13, 616.22, 616.3, 616.18, 615.08, 619.65, 621.2, 621.95, 633.07, 616.58, 616.66, 616.51, 618.75, 626.97, 626.25, 627.26, 631.36, 647.48, 616.89, 617.37, 633.72, 636.98, 638.18, 638.84, 641.59, 644.03, 638.3, 617.29, 634.24, 645.74, 652.78, 664.61, 657.97, 657.17, 654.9, 647.25, 640.24, 647.94, 655.79, 674.22, 676.9, 691.94, 679.34, 671.37, 661.61, 645.56, 654.89, 679.69, 680.7, 693.27, 711.35, 684.93, 667.75, 683.9, 683.98, 687.93, 692.78, 680.99, 703.72, 712.04, 702.79, 691.66, 728.94, 760.62]"
Hol,"[875.87, 872.39, 882.65, 891.94, 857.12, 856.82, 857.71, 870.0, 879.13, 884.58, 839.33, 840.87, 838.91, 858.13, 865.49, 872.25, 881.22, 889.41, 889.85, 823.8, 826.32, 830.68, 841.19, 851.29, 862.79, 871.91, 879.85, 881.75, 810.88, 824.0, 833.19, 841.67, 845.25, 850.35, 861.47, 870.6, 880.04, 802.19, 810.45, 838.58, 843.64, 843.43, 844.3, 852.02, 865.69, 874.82, 798.78, 802.75, 808.32, 818.13, 830.26, 844.83, 849.78, 863.49, 876.19, 788.2, 798.86, 799.08, 806.48, 819.62, 832.72, 842.21, 853.75, 872.11, 775.7, 790.54, 806.46, 816.54, 816.41, 817.05, 821.3, 827.86, 834.95, 822.82, 840.98, 830.6, 822.28, 827.46, 834.08, 794.6, 808.94, 836.74, 830.63]"
Hole,"[63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 63.89, 63.0, 64.34, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 64.37, 69.62, 74.42, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 72.15, 82.72, 80.38, 63.26, 64.28, 70.23, 63.0, 63.0, 63.0, 76.99, 81.33, 83.0, 63.49, 66.37, 68.86, 63.36, 63.31, 63.72, 73.93, 81.05, 86.07, 64.64, 66.72, 68.32, 65.04, 64.09, 66.88, 73.96, 80.39, 88.84, 68.61, 68.42, 68.8, 73.68, 81.18, 89.9, 73.99, 82.25, 93.03]"
Hurum,"[201.33, 249.09, 251.63, 182.56, 224.78, 239.52, 270.26, 288.73, 313.67, 291.35, 168.01, 197.2, 235.5, 253.8, 291.68, 300.98, 306.8, 278.53, 305.15, 154.86, 167.93, 227.27, 266.61, 285.31, 293.64, 294.3, 278.56, 288.09, 162.49, 170.07, 218.23, 261.48, 277.76, 291.32, 294.63, 298.88, 302.73, 158.72, 164.87, 229.1, 272.55, 271.61, 290.81, 294.94, 293.2, 315.66, 156.14, 158.72, 193.97, 258.19, 273.65, 269.91, 295.92, 277.49, 293.77, 151.65, 155.79, 165.0, 239.95, 257.0, 275.59, 276.99, 287.89, 291.97, 143.96, 147.35, 161.25, 225.79, 246.9, 257.73, 260.68, 299.99, 292.06, 157.66, 191.68, 231.28, 245.31, 276.5, 278.31, 290.15, 254.54, 271.09, 297.46]"
Kongsberg,"[162.4, 162.77, 168.83, 161.88, 164.63, 169.85, 169.47, 168.89, 168.5, 163.29, 167.93, 169.26, 166.78, 170.95, 172.76, 176.72, 194.68, 227.41, 164.35, 167.95, 166.06, 175.27, 176.03, 177.23, 189.5, 213.07, 240.82, 164.61, 165.05, 176.17, 182.62, 180.09, 181.08, 194.78, 215.74, 238.98, 165.5, 168.08, 177.4, 183.46, 178.9, 194.57, 217.27, 239.56, 253.77, 176.89, 196.63, 187.97, 174.34, 175.56, 190.25, 218.03, 249.74, 264.02, 174.45, 194.26, 181.08, 174.36, 174.37, 189.39, 219.34, 245.43, 273.03, 171.26, 179.82, 176.12, 174.7, 178.71, 194.75, 223.02, 258.94, 288.89, 180.54, 183.44, 204.75, 230.78, 267.01, 296.06, 241.81, 272.57, 305.73]"
Krødsherad,"[162.1, 155.43, 149.33, 172.25, 167.73, 172.21, 175.09, 184.28, 193.0, 196.61, 192.14, 202.74, 207.8, 199.12, 215.2, 227.73, 229.33, 231.42, 219.42, 224.47, 230.91, 236.82, 228.09, 256.64, 274.54, 270.56, 273.12, 275.0, 257.49, 266.13, 276.42, 281.17, 301.84, 313.06, 307.08, 338.46, 326.07, 302.77, 321.15, 325.08, 327.25, 340.33, 357.37, 333.97, 399.02, 370.45, 379.41, 387.53, 380.91, 377.43, 384.37, 404.5, 385.68, 431.65, 449.56, 458.97, 436.39, 427.0, 434.43, 443.48, 459.64, 466.07, 458.88, 475.87, 470.45, 467.51, 485.98, 488.25, 483.42, 493.1, 505.21, 518.38, 508.74, 500.74, 516.46, 521.68, 519.39, 548.26, 540.81, 546.95, 558.73]"
Lier,"[290.58, 289.05, 296.52, 275.0, 274.36, 294.05, 308.87, 305.38, 299.02, 262.95, 275.0, 274.69, 302.35, 311.12, 312.5, 305.93, 269.53, 246.09, 236.93, 276.45, 275.0, 308.63, 317.93, 305.42, 302.03, 272.04, 252.67, 229.76, 282.8, 275.0, 283.01, 317.56, 303.48, 291.44, 274.14, 253.01, 232.88, 282.35, 293.75, 271.81, 301.25, 306.83, 290.26, 267.71, 253.3, 232.49, 303.05, 299.22, 290.43, 272.69, 305.34, 291.24, 259.65, 243.58, 226.36, 302.42, 303.9, 295.31, 279.82, 285.58, 287.92, 249.25, 233.77, 214.3, 304.92, 317.42, 292.69, 278.52, 269.44, 245.05, 233.43, 222.92, 205.89, 314.41, 289.4, 264.96, 231.86, 216.64, 214.37, 205.1, 240.32, 226.15, 202.2]"
Modum,"[65.04, 63.5, 63.0, 66.9, 61.9, 63.0, 63.0, 63.0, 63.0, 68.08, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 84.05, 84.61, 69.07, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 88.69, 89.2, 70.87, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 92.19, 87.55, 72.12, 63.0, 63.0, 63.0, 63.0, 63.0, 63.0, 71.43, 92.11, 71.88, 62.57, 63.0, 63.0, 63.0, 63.0, 63.0, 63.49, 95.63, 70.05, 63.0, 63.0, 63.0, 63.0, 64.4, 63.0, 64.91, 92.58, 64.96, 63.81, 63.0, 63.0, 63.0, 63.0, 62.33, 65.76, 96.29, 63.0, 63.0, 63.44, 65.0, 64.3, 95.06, 69.42, 66.94, 78.95]"
Nedre Eiker,"[50.1, 40.82, 28.33, 53.65, 44.62, 40.62, 34.13, 31.5, 26.22, 70.2, 61.21, 54.84, 49.46, 47.14, 47.73, 47.38, 46.82, 38.04, 92.13, 78.62, 71.64, 67.24, 62.0, 61.39, 56.27, 49.54, 54.19, 107.98, 98.66, 93.92, 86.29, 79.2, 77.14, 75.42, 69.51, 64.05, 140.52, 131.81, 118.02, 109.67, 100.97, 96.81, 91.28, 83.85, 81.84, 193.29, 163.79, 147.92, 134.72, 128.92, 132.68, 119.04, 108.57, 102.58, 259.57, 213.93, 181.91, 166.39, 160.01, 160.35, 148.64, 144.27, 135.48, 332.65, 270.75, 230.65, 214.77, 197.16, 192.01, 183.82, 167.9, 149.21, 273.77, 259.82, 242.07, 217.31, 190.35, 152.97, 265.77, 185.35, 155.78]"
Nore og Uvdal,"[651.12, 653.8, 665.32, 676.55, 625.76, 628.86, 638.2, 648.74, 656.79, 654.94, 598.89, 606.36, 610.56, 618.9, 623.43, 630.51, 635.81, 639.71, 650.71, 572.8, 577.29, 585.09, 594.73, 599.31, 603.77, 611.43, 619.5, 628.81, 549.38, 554.82, 558.18, 564.04, 569.67, 577.29, 584.13, 590.78, 597.15, 527.98, 531.02, 535.64, 539.67, 544.54, 549.82, 558.83, 566.07, 575.85, 515.27, 516.84, 520.25, 522.09, 527.67, 531.22, 536.86, 538.81, 548.76, 505.27, 507.41, 506.92, 508.9, 510.95, 516.07, 518.43, 521.29, 532.8, 503.28, 502.79, 501.72, 499.98, 499.27, 501.43, 508.38, 506.14, 505.78, 498.39, 498.79, 497.93, 497.28, 498.98, 513.02, 495.4, 494.54, 493.77, 509.86]"
Ringerike,"[123.47, 110.71, 88.45, 112.97, 105.89, 87.94, 78.14, 70.91, 68.91, 96.57, 96.55, 84.12, 75.87, 69.88, 66.17, 66.15, 66.1, 66.09, 87.47, 87.08, 86.18, 74.12, 70.66, 75.58, 73.73, 66.15, 71.72, 87.32, 89.59, 94.93, 77.99, 78.74, 76.57, 75.96, 67.89, 72.64, 90.0, 101.35, 93.39, 86.38, 92.9, 78.69, 75.45, 66.91, 66.39, 90.78, 94.38, 92.19, 87.69, 87.05, 111.91, 77.78, 77.39, 76.33, 93.74, 93.6, 92.28, 90.64, 86.86, 94.0, 78.99, 78.53, 78.71, 106.24, 104.83, 94.29, 92.18, 89.72, 87.39, 82.94, 78.95, 79.03, 96.09, 94.06, 92.73, 88.01, 80.44, 80.91, 103.04, 80.92, 81.73]"
Rollag,"[446.22, 465.77, 483.07, 429.59, 448.08, 472.08, 516.62, 560.7, 582.17, 420.82, 445.4, 480.61, 514.56, 549.67, 569.23, 588.54, 610.3, 643.07, 414.84, 451.74, 465.1, 496.55, 537.87, 553.93, 578.67, 605.82, 625.24, 378.75, 424.83, 456.93, 491.7, 516.51, 537.89, 569.57, 599.56, 619.26, 423.85, 421.38, 448.26, 477.57, 508.79, 535.14, 556.75, 599.63, 611.33, 446.71, 460.85, 467.04, 433.3, 494.81, 528.68, 561.41, 595.28, 601.79, 468.43, 479.72, 490.22, 476.5, 499.99, 528.35, 575.12, 584.3, 589.65, 485.39, 509.03, 513.95, 503.87, 497.62, 499.36, 549.7, 560.14, 597.73, 527.46, 509.99, 548.54, 533.3, 560.56, 612.8, 564.77, 564.66, 586.18]"
Røyken,"[139.58, 141.2, 145.57, 128.96, 129.77, 131.32, 134.67, 143.64, 142.41, 140.92, 127.57, 125.3, 125.9, 127.0, 135.52, 142.26, 141.82, 142.33, 141.78, 128.42, 125.74, 124.33, 130.15, 144.38, 143.42, 143.54, 144.96, 147.86, 136.48, 126.17, 122.7, 131.51, 146.51, 148.11, 148.5, 148.79, 156.55, 146.27, 133.28, 122.98, 127.05, 141.05, 147.02, 152.9, 153.54, 163.78, 145.33, 145.61, 130.58, 122.12, 127.2, 135.65, 151.26, 163.23, 178.71, 140.39, 148.14, 145.28, 122.01, 118.66, 127.79, 142.93, 172.46, 197.71, 126.21, 139.45, 147.47, 128.92, 118.89, 120.54, 137.54, 160.09, 190.4, 132.18, 136.03, 119.26, 116.49, 126.64, 136.27, 170.3, 117.51, 124.01, 133.17]"
Sigdal,"[138.03, 137.36, 137.19, 137.72, 137.15, 137.11, 137.48, 137.25, 133.45, 137.46, 137.27, 137.3, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 137.1, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 133.0, 140.71, 133.0, 133.0, 135.54, 135.45, 133.23, 133.0, 133.0, 134.92, 146.11, 133.0, 136.0, 137.93, 136.0, 133.0, 133.0, 133.6, 142.77, 153.8, 136.22, 138.04, 137.69, 135.08, 133.0, 133.0, 142.02, 146.37, 155.02, 138.03, 141.26, 141.64, 138.53, 133.0, 133.0, 146.23, 158.32, 159.18, 145.62, 136.64, 145.81, 154.12, 166.87, 179.7, 170.18, 177.23, 195.93]"
