Municipality,Points
Oslo,"[(59.91298136945649, 10.715731270888812), (59.91298136945649, 10.717731270888812), (59.91298136945649, 10.719731270888813), (59.91398136945649, 10.715731270888812), (59.91398136945649, 10.717731270888812), (59.91398136945649, 10.719731270888813), (59.91398136945649, 10.721731270888814), (59.91398136945649, 10.723731270888814), (59.91398136945649, 10.725731270888815), (59.91398136945649, 10.727731270888816), (59.914981369456484, 10.715731270888812), (59.914981369456484, 10.717731270888812), (59.914981369456484, 10.719731270888813), (59.914981369456484, 10.721731270888814), (59.914981369456484, 10.723731270888814), (59.914981369456484, 10.725731270888815), (59.914981369456484, 10.727731270888816), (59.914981369456484, 10.729731270888816), (59.914981369456484, 10.731731270888817), (59.91598136945648, 10.715731270888812), (59.91598136945648, 10.717731270888812), (59.91598136945648, 10.719731270888813), (59.91598136945648, 10.721731270888814), (59.91598136945648, 10.723731270888814), (59.91598136945648, 10.725731270888815), (59.91598136945648, 10.727731270888816), (59.91598136945648, 10.729731270888816), (59.91598136945648, 10.731731270888817), (59.91698136945648, 10.715731270888812), (59.91698136945648, 10.717731270888812), (59.91698136945648, 10.719731270888813), (59.91698136945648, 10.721731270888814), (59.91698136945648, 10.723731270888814), (59.91698136945648, 10.725731270888815), (59.91698136945648, 10.727731270888816), (59.91698136945648, 10.729731270888816), (59.91698136945648, 10.731731270888817), (59.91798136945648, 10.715731270888812), (59.91798136945648, 10.717731270888812), (59.91798136945648, 10.719731270888813), (59.91798136945648, 10.721731270888814), (59.91798136945648, 10.723731270888814), (59.91798136945648, 10.725731270888815), (59.91798136945648, 10.727731270888816), (59.91798136945648, 10.729731270888816), (59.91798136945648, 10.731731270888817), (59.918981369456475, 10.715731270888812), (59.918981369456475, 10.717731270888812), (59.918981369456475, 10.719731270888813), (59.918981369456475, 10.721731270888814), (59.918981369456475, 10.723731270888814), (59.918981369456475, 10.725731270888815), (59.918981369456475, 10.727731270888816), (59.918981369456475, 10.729731270888816), (59.918981369456475, 10.731731270888817), (59.91998136945647, 10.715731270888812), (59.91998136945647, 10.717731270888812), (59.91998136945647, 10.719731270888813), (59.91998136945647, 10.721731270888814), (59.91998136945647, 10.723731270888814), (59.91998136945647, 10.725731270888815), (59.91998136945647, 10.727731270888816), (59.91998136945647, 10.729731270888816), (59.91998136945647, 10.731731270888817), (59.92098136945647, 10.715731270888812), (59.92098136945647, 10.717731270888812), (59.92098136945647, 10.719731270888813), (59.92098136945647, 10.721731270888814), (59.92098136945647, 10.723731270888814), (59.92098136945647, 10.725731270888815), (59.92098136945647, 10.727731270888816), (59.92098136945647, 10.729731270888816), (59.92098136945647, 10.731731270888817), (59.92198136945647, 10.719731270888813), (59.92198136945647, 10.721731270888814), (59.92198136945647, 10.723731270888814), (59.92198136945647, 10.725731270888815), (59.92198136945647, 10.727731270888816), (59.92198136945647, 10.729731270888816), (59.92198136945647, 10.731731270888817), (59.922981369456465, 10.727731270888816), (59.922981369456465, 10.729731270888816), (59.922981369456465, 10.731731270888817)]"
Aremark,"[(59.176948479099764, 11.683977714826941), (59.176948479099764, 11.685977714826942), (59.17794847909976, 11.683977714826941), (59.17794847909976, 11.685977714826942), (59.17794847909976, 11.687977714826943), (59.17794847909976, 11.689977714826943), (59.17794847909976, 11.691977714826944), (59.17794847909976, 11.693977714826945), (59.17794847909976, 11.695977714826945), (59.17894847909976, 11.683977714826941), (59.17894847909976, 11.685977714826942), (59.17894847909976, 11.687977714826943), (59.17894847909976, 11.689977714826943), (59.17894847909976, 11.691977714826944), (59.17894847909976, 11.693977714826945), (59.17894847909976, 11.695977714826945), (59.17894847909976, 11.697977714826946), (59.17894847909976, 11.699977714826947), (59.17994847909976, 11.683977714826941), (59.17994847909976, 11.685977714826942), (59.17994847909976, 11.687977714826943), (59.17994847909976, 11.689977714826943), (59.17994847909976, 11.691977714826944), (59.17994847909976, 11.693977714826945), (59.17994847909976, 11.695977714826945), (59.17994847909976, 11.697977714826946), (59.17994847909976, 11.699977714826947), (59.180948479099754, 11.683977714826941), (59.180948479099754, 11.685977714826942), (59.180948479099754, 11.687977714826943), (59.180948479099754, 11.689977714826943), (59.180948479099754, 11.691977714826944), (59.180948479099754, 11.693977714826945), (59.180948479099754, 11.695977714826945), (59.180948479099754, 11.697977714826946), (59.180948479099754, 11.699977714826947), (59.18194847909975, 11.683977714826941), (59.18194847909975, 11.685977714826942), (59.18194847909975, 11.687977714826943), (59.18194847909975, 11.689977714826943), (59.18194847909975, 11.691977714826944), (59.18194847909975, 11.693977714826945), (59.18194847909975, 11.695977714826945), (59.18194847909975, 11.697977714826946), (59.18194847909975, 11.699977714826947), (59.18294847909975, 11.683977714826941), (59.18294847909975, 11.685977714826942), (59.18294847909975, 11.687977714826943), (59.18294847909975, 11.689977714826943), (59.18294847909975, 11.691977714826944), (59.18294847909975, 11.693977714826945), (59.18294847909975, 11.695977714826945), (59.18294847909975, 11.697977714826946), (59.18294847909975, 11.699977714826947), (59.18394847909975, 11.683977714826941), (59.18394847909975, 11.685977714826942), (59.18394847909975, 11.687977714826943), (59.18394847909975, 11.689977714826943), (59.18394847909975, 11.691977714826944), (59.18394847909975, 11.693977714826945), (59.18394847909975, 11.695977714826945), (59.18394847909975, 11.697977714826946), (59.18394847909975, 11.699977714826947), (59.184948479099745, 11.683977714826941), (59.184948479099745, 11.685977714826942), (59.184948479099745, 11.687977714826943), (59.184948479099745, 11.689977714826943), (59.184948479099745, 11.691977714826944), (59.184948479099745, 11.693977714826945), (59.184948479099745, 11.695977714826945), (59.184948479099745, 11.697977714826946), (59.184948479099745, 11.699977714826947), (59.18594847909974, 11.687977714826943), (59.18594847909974, 11.689977714826943), (59.18594847909974, 11.691977714826944), (59.18594847909974, 11.693977714826945), (59.18594847909974, 11.695977714826945), (59.18594847909974, 11.697977714826946), (59.18594847909974, 11.699977714826947), (59.18694847909974, 11.697977714826946), (59.18694847909974, 11.699977714826947)]"
Askim,"[(59.57625408282517, 11.166322921364708), (59.57625408282517, 11.168322921364709), (59.57725408282517, 11.166322921364708), (59.57725408282517, 11.168322921364709), (59.57725408282517, 11.17032292136471), (59.57725408282517, 11.17232292136471), (59.57725408282517, 11.17432292136471), (59.57725408282517, 11.176322921364712), (59.57725408282517, 11.178322921364712), (59.57825408282517, 11.166322921364708), (59.57825408282517, 11.168322921364709), (59.57825408282517, 11.17032292136471), (59.57825408282517, 11.17232292136471), (59.57825408282517, 11.17432292136471), (59.57825408282517, 11.176322921364712), (59.57825408282517, 11.178322921364712), (59.57825408282517, 11.180322921364713), (59.57825408282517, 11.182322921364714), (59.579254082825166, 11.166322921364708), (59.579254082825166, 11.168322921364709), (59.579254082825166, 11.17032292136471), (59.579254082825166, 11.17232292136471), (59.579254082825166, 11.17432292136471), (59.579254082825166, 11.176322921364712), (59.579254082825166, 11.178322921364712), (59.579254082825166, 11.180322921364713), (59.579254082825166, 11.182322921364714), (59.580254082825164, 11.166322921364708), (59.580254082825164, 11.168322921364709), (59.580254082825164, 11.17032292136471), (59.580254082825164, 11.17232292136471), (59.580254082825164, 11.17432292136471), (59.580254082825164, 11.176322921364712), (59.580254082825164, 11.178322921364712), (59.580254082825164, 11.180322921364713), (59.580254082825164, 11.182322921364714), (59.58125408282516, 11.166322921364708), (59.58125408282516, 11.168322921364709), (59.58125408282516, 11.17032292136471), (59.58125408282516, 11.17232292136471), (59.58125408282516, 11.17432292136471), (59.58125408282516, 11.176322921364712), (59.58125408282516, 11.178322921364712), (59.58125408282516, 11.180322921364713), (59.58125408282516, 11.182322921364714), (59.58225408282516, 11.166322921364708), (59.58225408282516, 11.168322921364709), (59.58225408282516, 11.17032292136471), (59.58225408282516, 11.17232292136471), (59.58225408282516, 11.17432292136471), (59.58225408282516, 11.176322921364712), (59.58225408282516, 11.178322921364712), (59.58225408282516, 11.180322921364713), (59.58225408282516, 11.182322921364714), (59.58325408282516, 11.166322921364708), (59.58325408282516, 11.168322921364709), (59.58325408282516, 11.17032292136471), (59.58325408282516, 11.17232292136471), (59.58325408282516, 11.17432292136471), (59.58325408282516, 11.176322921364712), (59.58325408282516, 11.178322921364712), (59.58325408282516, 11.180322921364713), (59.58325408282516, 11.182322921364714), (59.584254082825154, 11.166322921364708), (59.584254082825154, 11.168322921364709), (59.584254082825154, 11.17032292136471), (59.584254082825154, 11.17232292136471), (59.584254082825154, 11.17432292136471), (59.584254082825154, 11.176322921364712), (59.584254082825154, 11.178322921364712), (59.584254082825154, 11.180322921364713), (59.584254082825154, 11.182322921364714), (59.58525408282515, 11.17032292136471), (59.58525408282515, 11.17232292136471), (59.58525408282515, 11.17432292136471), (59.58525408282515, 11.176322921364712), (59.58525408282515, 11.178322921364712), (59.58525408282515, 11.180322921364713), (59.58525408282515, 11.182322921364714), (59.58625408282515, 11.180322921364713), (59.58625408282515, 11.182322921364714)]"
Eidsberg,"[(59.5081230602453, 11.297865347727443), (59.5081230602453, 11.299865347727444), (59.5091230602453, 11.297865347727443), (59.5091230602453, 11.299865347727444), (59.5091230602453, 11.301865347727444), (59.5091230602453, 11.303865347727445), (59.5091230602453, 11.305865347727446), (59.5091230602453, 11.307865347727446), (59.5091230602453, 11.309865347727447), (59.5101230602453, 11.297865347727443), (59.5101230602453, 11.299865347727444), (59.5101230602453, 11.301865347727444), (59.5101230602453, 11.303865347727445), (59.5101230602453, 11.305865347727446), (59.5101230602453, 11.307865347727446), (59.5101230602453, 11.309865347727447), (59.5101230602453, 11.311865347727448), (59.5101230602453, 11.313865347727448), (59.511123060245296, 11.297865347727443), (59.511123060245296, 11.299865347727444), (59.511123060245296, 11.301865347727444), (59.511123060245296, 11.303865347727445), (59.511123060245296, 11.305865347727446), (59.511123060245296, 11.307865347727446), (59.511123060245296, 11.309865347727447), (59.511123060245296, 11.311865347727448), (59.511123060245296, 11.313865347727448), (59.512123060245294, 11.297865347727443), (59.512123060245294, 11.299865347727444), (59.512123060245294, 11.301865347727444), (59.512123060245294, 11.303865347727445), (59.512123060245294, 11.305865347727446), (59.512123060245294, 11.307865347727446), (59.512123060245294, 11.309865347727447), (59.512123060245294, 11.311865347727448), (59.512123060245294, 11.313865347727448), (59.51312306024529, 11.297865347727443), (59.51312306024529, 11.299865347727444), (59.51312306024529, 11.301865347727444), (59.51312306024529, 11.303865347727445), (59.51312306024529, 11.305865347727446), (59.51312306024529, 11.307865347727446), (59.51312306024529, 11.309865347727447), (59.51312306024529, 11.311865347727448), (59.51312306024529, 11.313865347727448), (59.51412306024529, 11.297865347727443), (59.51412306024529, 11.299865347727444), (59.51412306024529, 11.301865347727444), (59.51412306024529, 11.303865347727445), (59.51412306024529, 11.305865347727446), (59.51412306024529, 11.307865347727446), (59.51412306024529, 11.309865347727447), (59.51412306024529, 11.311865347727448), (59.51412306024529, 11.313865347727448), (59.51512306024529, 11.297865347727443), (59.51512306024529, 11.299865347727444), (59.51512306024529, 11.301865347727444), (59.51512306024529, 11.303865347727445), (59.51512306024529, 11.305865347727446), (59.51512306024529, 11.307865347727446), (59.51512306024529, 11.309865347727447), (59.51512306024529, 11.311865347727448), (59.51512306024529, 11.313865347727448), (59.516123060245285, 11.297865347727443), (59.516123060245285, 11.299865347727444), (59.516123060245285, 11.301865347727444), (59.516123060245285, 11.303865347727445), (59.516123060245285, 11.305865347727446), (59.516123060245285, 11.307865347727446), (59.516123060245285, 11.309865347727447), (59.516123060245285, 11.311865347727448), (59.516123060245285, 11.313865347727448), (59.51712306024528, 11.301865347727444), (59.51712306024528, 11.303865347727445), (59.51712306024528, 11.305865347727446), (59.51712306024528, 11.307865347727446), (59.51712306024528, 11.309865347727447), (59.51712306024528, 11.311865347727448), (59.51712306024528, 11.313865347727448), (59.51812306024528, 11.311865347727448), (59.51812306024528, 11.313865347727448)]"
Fredrikstad,"[(59.209392630739025, 10.926955403552245), (59.209392630739025, 10.928955403552246), (59.209392630739025, 10.930955403552247), (59.21039263073902, 10.926955403552245), (59.21039263073902, 10.928955403552246), (59.21039263073902, 10.930955403552247), (59.21039263073902, 10.932955403552247), (59.21039263073902, 10.934955403552248), (59.21039263073902, 10.936955403552249), (59.21039263073902, 10.93895540355225), (59.21139263073902, 10.926955403552245), (59.21139263073902, 10.928955403552246), (59.21139263073902, 10.930955403552247), (59.21139263073902, 10.932955403552247), (59.21139263073902, 10.934955403552248), (59.21139263073902, 10.936955403552249), (59.21139263073902, 10.93895540355225), (59.21139263073902, 10.94095540355225), (59.21139263073902, 10.94295540355225), (59.21239263073902, 10.926955403552245), (59.21239263073902, 10.928955403552246), (59.21239263073902, 10.930955403552247), (59.21239263073902, 10.932955403552247), (59.21239263073902, 10.934955403552248), (59.21239263073902, 10.936955403552249), (59.21239263073902, 10.93895540355225), (59.21239263073902, 10.94095540355225), (59.21239263073902, 10.94295540355225), (59.213392630739015, 10.926955403552245), (59.213392630739015, 10.928955403552246), (59.213392630739015, 10.930955403552247), (59.213392630739015, 10.932955403552247), (59.213392630739015, 10.934955403552248), (59.213392630739015, 10.936955403552249), (59.213392630739015, 10.93895540355225), (59.213392630739015, 10.94095540355225), (59.213392630739015, 10.94295540355225), (59.21439263073901, 10.926955403552245), (59.21439263073901, 10.928955403552246), (59.21439263073901, 10.930955403552247), (59.21439263073901, 10.932955403552247), (59.21439263073901, 10.934955403552248), (59.21439263073901, 10.936955403552249), (59.21439263073901, 10.93895540355225), (59.21439263073901, 10.94095540355225), (59.21439263073901, 10.94295540355225), (59.21539263073901, 10.926955403552245), (59.21539263073901, 10.928955403552246), (59.21539263073901, 10.930955403552247), (59.21539263073901, 10.932955403552247), (59.21539263073901, 10.934955403552248), (59.21539263073901, 10.936955403552249), (59.21539263073901, 10.93895540355225), (59.21539263073901, 10.94095540355225), (59.21539263073901, 10.94295540355225), (59.21639263073901, 10.926955403552245), (59.21639263073901, 10.928955403552246), (59.21639263073901, 10.930955403552247), (59.21639263073901, 10.932955403552247), (59.21639263073901, 10.934955403552248), (59.21639263073901, 10.936955403552249), (59.21639263073901, 10.93895540355225), (59.21639263073901, 10.94095540355225), (59.21639263073901, 10.94295540355225), (59.217392630739006, 10.926955403552245), (59.217392630739006, 10.928955403552246), (59.217392630739006, 10.930955403552247), (59.217392630739006, 10.932955403552247), (59.217392630739006, 10.934955403552248), (59.217392630739006, 10.936955403552249), (59.217392630739006, 10.93895540355225), (59.217392630739006, 10.94095540355225), (59.217392630739006, 10.94295540355225), (59.218392630739004, 10.930955403552247), (59.218392630739004, 10.932955403552247), (59.218392630739004, 10.934955403552248), (59.218392630739004, 10.936955403552249), (59.218392630739004, 10.93895540355225), (59.218392630739004, 10.94095540355225), (59.218392630739004, 10.94295540355225), (59.219392630739, 10.93895540355225), (59.219392630739, 10.94095540355225), (59.219392630739, 10.94295540355225)]"
Halden,"[(59.12374553502525, 11.374363861613357), (59.12374553502525, 11.376363861613358), (59.12474553502525, 11.374363861613357), (59.12474553502525, 11.376363861613358), (59.12474553502525, 11.378363861613359), (59.12474553502525, 11.38036386161336), (59.12474553502525, 11.38236386161336), (59.12474553502525, 11.38436386161336), (59.12474553502525, 11.386363861613361), (59.125745535025246, 11.374363861613357), (59.125745535025246, 11.376363861613358), (59.125745535025246, 11.378363861613359), (59.125745535025246, 11.38036386161336), (59.125745535025246, 11.38236386161336), (59.125745535025246, 11.38436386161336), (59.125745535025246, 11.386363861613361), (59.125745535025246, 11.388363861613362), (59.125745535025246, 11.390363861613363), (59.12674553502524, 11.374363861613357), (59.12674553502524, 11.376363861613358), (59.12674553502524, 11.378363861613359), (59.12674553502524, 11.38036386161336), (59.12674553502524, 11.38236386161336), (59.12674553502524, 11.38436386161336), (59.12674553502524, 11.386363861613361), (59.12674553502524, 11.388363861613362), (59.12674553502524, 11.390363861613363), (59.12774553502524, 11.374363861613357), (59.12774553502524, 11.376363861613358), (59.12774553502524, 11.378363861613359), (59.12774553502524, 11.38036386161336), (59.12774553502524, 11.38236386161336), (59.12774553502524, 11.38436386161336), (59.12774553502524, 11.386363861613361), (59.12774553502524, 11.388363861613362), (59.12774553502524, 11.390363861613363), (59.12874553502524, 11.374363861613357), (59.12874553502524, 11.376363861613358), (59.12874553502524, 11.378363861613359), (59.12874553502524, 11.38036386161336), (59.12874553502524, 11.38236386161336), (59.12874553502524, 11.38436386161336), (59.12874553502524, 11.386363861613361), (59.12874553502524, 11.388363861613362), (59.12874553502524, 11.390363861613363), (59.129745535025236, 11.374363861613357), (59.129745535025236, 11.376363861613358), (59.129745535025236, 11.378363861613359), (59.129745535025236, 11.38036386161336), (59.129745535025236, 11.38236386161336), (59.129745535025236, 11.38436386161336), (59.129745535025236, 11.386363861613361), (59.129745535025236, 11.388363861613362), (59.129745535025236, 11.390363861613363), (59.130745535025234, 11.374363861613357), (59.130745535025234, 11.376363861613358), (59.130745535025234, 11.378363861613359), (59.130745535025234, 11.38036386161336), (59.130745535025234, 11.38236386161336), (59.130745535025234, 11.38436386161336), (59.130745535025234, 11.386363861613361), (59.130745535025234, 11.388363861613362), (59.130745535025234, 11.390363861613363), (59.13174553502523, 11.374363861613357), (59.13174553502523, 11.376363861613358), (59.13174553502523, 11.378363861613359), (59.13174553502523, 11.38036386161336), (59.13174553502523, 11.38236386161336), (59.13174553502523, 11.38436386161336), (59.13174553502523, 11.386363861613361), (59.13174553502523, 11.388363861613362), (59.13174553502523, 11.390363861613363), (59.13274553502523, 11.378363861613359), (59.13274553502523, 11.38036386161336), (59.13274553502523, 11.38236386161336), (59.13274553502523, 11.38436386161336), (59.13274553502523, 11.386363861613361), (59.13274553502523, 11.388363861613362), (59.13274553502523, 11.390363861613363), (59.13374553502523, 11.388363861613362), (59.13374553502523, 11.390363861613363)]"
Hobøl,"[(59.615215187505996, 10.966681760603024), (59.615215187505996, 10.968681760603024), (59.615215187505996, 10.970681760603025), (59.61621518750599, 10.966681760603024), (59.61621518750599, 10.968681760603024), (59.61621518750599, 10.970681760603025), (59.61621518750599, 10.972681760603026), (59.61621518750599, 10.974681760603026), (59.61621518750599, 10.976681760603027), (59.61621518750599, 10.978681760603028), (59.61721518750599, 10.966681760603024), (59.61721518750599, 10.968681760603024), (59.61721518750599, 10.970681760603025), (59.61721518750599, 10.972681760603026), (59.61721518750599, 10.974681760603026), (59.61721518750599, 10.976681760603027), (59.61721518750599, 10.978681760603028), (59.61721518750599, 10.980681760603028), (59.61721518750599, 10.982681760603029), (59.61821518750599, 10.966681760603024), (59.61821518750599, 10.968681760603024), (59.61821518750599, 10.970681760603025), (59.61821518750599, 10.972681760603026), (59.61821518750599, 10.974681760603026), (59.61821518750599, 10.976681760603027), (59.61821518750599, 10.978681760603028), (59.61821518750599, 10.980681760603028), (59.61821518750599, 10.982681760603029), (59.619215187505986, 10.966681760603024), (59.619215187505986, 10.968681760603024), (59.619215187505986, 10.970681760603025), (59.619215187505986, 10.972681760603026), (59.619215187505986, 10.974681760603026), (59.619215187505986, 10.976681760603027), (59.619215187505986, 10.978681760603028), (59.619215187505986, 10.980681760603028), (59.619215187505986, 10.982681760603029), (59.620215187505984, 10.966681760603024), (59.620215187505984, 10.968681760603024), (59.620215187505984, 10.970681760603025), (59.620215187505984, 10.972681760603026), (59.620215187505984, 10.974681760603026), (59.620215187505984, 10.976681760603027), (59.620215187505984, 10.978681760603028), (59.620215187505984, 10.980681760603028), (59.620215187505984, 10.982681760603029), (59.62121518750598, 10.966681760603024), (59.62121518750598, 10.968681760603024), (59.62121518750598, 10.970681760603025), (59.62121518750598, 10.972681760603026), (59.62121518750598, 10.974681760603026), (59.62121518750598, 10.976681760603027), (59.62121518750598, 10.978681760603028), (59.62121518750598, 10.980681760603028), (59.62121518750598, 10.982681760603029), (59.62221518750598, 10.966681760603024), (59.62221518750598, 10.968681760603024), (59.62221518750598, 10.970681760603025), (59.62221518750598, 10.972681760603026), (59.62221518750598, 10.974681760603026), (59.62221518750598, 10.976681760603027), (59.62221518750598, 10.978681760603028), (59.62221518750598, 10.980681760603028), (59.62221518750598, 10.982681760603029), (59.62321518750598, 10.966681760603024), (59.62321518750598, 10.968681760603024), (59.62321518750598, 10.970681760603025), (59.62321518750598, 10.972681760603026), (59.62321518750598, 10.974681760603026), (59.62321518750598, 10.976681760603027), (59.62321518750598, 10.978681760603028), (59.62321518750598, 10.980681760603028), (59.62321518750598, 10.982681760603029), (59.624215187505975, 10.970681760603025), (59.624215187505975, 10.972681760603026), (59.624215187505975, 10.974681760603026), (59.624215187505975, 10.976681760603027), (59.624215187505975, 10.978681760603028), (59.624215187505975, 10.980681760603028), (59.624215187505975, 10.982681760603029), (59.62521518750597, 10.978681760603028), (59.62521518750597, 10.980681760603028), (59.62521518750597, 10.982681760603029)]"
Hvaler,"[(59.031851598309046, 11.000300783186683), (59.031851598309046, 11.002300783186683), (59.031851598309046, 11.004300783186684), (59.032851598309044, 11.000300783186683), (59.032851598309044, 11.002300783186683), (59.032851598309044, 11.004300783186684), (59.032851598309044, 11.006300783186685), (59.032851598309044, 11.008300783186685), (59.032851598309044, 11.010300783186686), (59.032851598309044, 11.012300783186687), (59.03385159830904, 11.000300783186683), (59.03385159830904, 11.002300783186683), (59.03385159830904, 11.004300783186684), (59.03385159830904, 11.006300783186685), (59.03385159830904, 11.008300783186685), (59.03385159830904, 11.010300783186686), (59.03385159830904, 11.012300783186687), (59.03385159830904, 11.014300783186687), (59.03385159830904, 11.016300783186688), (59.03485159830904, 11.000300783186683), (59.03485159830904, 11.002300783186683), (59.03485159830904, 11.004300783186684), (59.03485159830904, 11.006300783186685), (59.03485159830904, 11.008300783186685), (59.03485159830904, 11.010300783186686), (59.03485159830904, 11.012300783186687), (59.03485159830904, 11.014300783186687), (59.03485159830904, 11.016300783186688), (59.03585159830904, 11.000300783186683), (59.03585159830904, 11.002300783186683), (59.03585159830904, 11.004300783186684), (59.03585159830904, 11.006300783186685), (59.03585159830904, 11.008300783186685), (59.03585159830904, 11.010300783186686), (59.03585159830904, 11.012300783186687), (59.03585159830904, 11.014300783186687), (59.03585159830904, 11.016300783186688), (59.036851598309035, 11.000300783186683), (59.036851598309035, 11.002300783186683), (59.036851598309035, 11.004300783186684), (59.036851598309035, 11.006300783186685), (59.036851598309035, 11.008300783186685), (59.036851598309035, 11.010300783186686), (59.036851598309035, 11.012300783186687), (59.036851598309035, 11.014300783186687), (59.036851598309035, 11.016300783186688), (59.03785159830903, 11.000300783186683), (59.03785159830903, 11.002300783186683), (59.03785159830903, 11.004300783186684), (59.03785159830903, 11.006300783186685), (59.03785159830903, 11.008300783186685), (59.03785159830903, 11.010300783186686), (59.03785159830903, 11.012300783186687), (59.03785159830903, 11.014300783186687), (59.03785159830903, 11.016300783186688), (59.03885159830903, 11.000300783186683), (59.03885159830903, 11.002300783186683), (59.03885159830903, 11.004300783186684), (59.03885159830903, 11.006300783186685), (59.03885159830903, 11.008300783186685), (59.03885159830903, 11.010300783186686), (59.03885159830903, 11.012300783186687), (59.03885159830903, 11.014300783186687), (59.03885159830903, 11.016300783186688), (59.03985159830903, 11.000300783186683), (59.03985159830903, 11.002300783186683), (59.03985159830903, 11.004300783186684), (59.03985159830903, 11.006300783186685), (59.03985159830903, 11.008300783186685), (59.03985159830903, 11.010300783186686), (59.03985159830903, 11.012300783186687), (59.03985159830903, 11.014300783186687), (59.03985159830903, 11.016300783186688), (59.040851598309025, 11.004300783186684), (59.040851598309025, 11.006300783186685), (59.040851598309025, 11.008300783186685), (59.040851598309025, 11.010300783186686), (59.040851598309025, 11.012300783186687), (59.040851598309025, 11.014300783186687), (59.040851598309025, 11.016300783186688), (59.04185159830902, 11.012300783186687), (59.04185159830902, 11.014300783186687), (59.04185159830902, 11.016300783186688)]"
Marker,"[(59.48176104557654, 11.65418271701579), (59.48176104557654, 11.65618271701579), (59.48276104557654, 11.65418271701579), (59.48276104557654, 11.65618271701579), (59.48276104557654, 11.65818271701579), (59.48276104557654, 11.660182717015791), (59.48276104557654, 11.662182717015792), (59.48276104557654, 11.664182717015793), (59.48276104557654, 11.666182717015793), (59.483761045576536, 11.65418271701579), (59.483761045576536, 11.65618271701579), (59.483761045576536, 11.65818271701579), (59.483761045576536, 11.660182717015791), (59.483761045576536, 11.662182717015792), (59.483761045576536, 11.664182717015793), (59.483761045576536, 11.666182717015793), (59.483761045576536, 11.668182717015794), (59.483761045576536, 11.670182717015795), (59.48476104557653, 11.65418271701579), (59.48476104557653, 11.65618271701579), (59.48476104557653, 11.65818271701579), (59.48476104557653, 11.660182717015791), (59.48476104557653, 11.662182717015792), (59.48476104557653, 11.664182717015793), (59.48476104557653, 11.666182717015793), (59.48476104557653, 11.668182717015794), (59.48476104557653, 11.670182717015795), (59.48576104557653, 11.65418271701579), (59.48576104557653, 11.65618271701579), (59.48576104557653, 11.65818271701579), (59.48576104557653, 11.660182717015791), (59.48576104557653, 11.662182717015792), (59.48576104557653, 11.664182717015793), (59.48576104557653, 11.666182717015793), (59.48576104557653, 11.668182717015794), (59.48576104557653, 11.670182717015795), (59.48676104557653, 11.65418271701579), (59.48676104557653, 11.65618271701579), (59.48676104557653, 11.65818271701579), (59.48676104557653, 11.660182717015791), (59.48676104557653, 11.662182717015792), (59.48676104557653, 11.664182717015793), (59.48676104557653, 11.666182717015793), (59.48676104557653, 11.668182717015794), (59.48676104557653, 11.670182717015795), (59.487761045576526, 11.65418271701579), (59.487761045576526, 11.65618271701579), (59.487761045576526, 11.65818271701579), (59.487761045576526, 11.660182717015791), (59.487761045576526, 11.662182717015792), (59.487761045576526, 11.664182717015793), (59.487761045576526, 11.666182717015793), (59.487761045576526, 11.668182717015794), (59.487761045576526, 11.670182717015795), (59.488761045576524, 11.65418271701579), (59.488761045576524, 11.65618271701579), (59.488761045576524, 11.65818271701579), (59.488761045576524, 11.660182717015791), (59.488761045576524, 11.662182717015792), (59.488761045576524, 11.664182717015793), (59.488761045576524, 11.666182717015793), (59.488761045576524, 11.668182717015794), (59.488761045576524, 11.670182717015795), (59.48976104557652, 11.65418271701579), (59.48976104557652, 11.65618271701579), (59.48976104557652, 11.65818271701579), (59.48976104557652, 11.660182717015791), (59.48976104557652, 11.662182717015792), (59.48976104557652, 11.664182717015793), (59.48976104557652, 11.666182717015793), (59.48976104557652, 11.668182717015794), (59.48976104557652, 11.670182717015795), (59.49076104557652, 11.65818271701579), (59.49076104557652, 11.660182717015791), (59.49076104557652, 11.662182717015792), (59.49076104557652, 11.664182717015793), (59.49076104557652, 11.666182717015793), (59.49076104557652, 11.668182717015794), (59.49076104557652, 11.670182717015795), (59.49176104557652, 11.668182717015794), (59.49176104557652, 11.670182717015795)]"
