Municipality,Latitude,Longitude,Char
Notodden,59.5603,9.2617,1.926524063608118
Porsgrunn,59.1405,9.6561,1.6115483135881745
Sauherad,59.3978,9.2547,1.8243845941822276
Seljord,59.4781,8.6333,1.491262884183068
Siljan,59.2967,9.7006,0.5010652530859305
Skien,59.2096,9.5514,1.57953103651974
Tinn,59.8663,8.6172,1.0472276091485115
Tokke,59.4481,8.0267,3.497899566785799
Vinje,59.5825,7.9769,2.0792348650663106
Midt-Telemark,59.41307,9.06626,0.9652655333393674
Arendal,58.4615,8.7725,1.96489507698015
Birkenes,58.3725,8.2375,0.6415685100013357
Bygland,58.83,7.8,1.6121708534840895
Bykle,59.35,7.35,-2.7363450953818216
Evje og Hornnes,58.56,7.8,1.6318686665532973
Froland,58.5186,8.6386,0.0041675860079628535
Gjerstad,58.88,9.0,1.1332817363178993
Grimstad,58.34,8.5934,2.0080056468241994
Iveland,58.45,7.7833,0.22157426455649176
Lillesand,58.2486,8.3786,2.245067028587838
Risør,58.72,9.2,1.6107796669660832
Tvedestrand,58.6197,8.9314,1.0084654040803906
Valle,59.2125,7.5356,1.4916842330435331
Vegårshei,58.75,8.9333,-0.7856295571865175
Åmli,58.7667,8.5,1.8142837753435708
Audnedal,58.2833,7.3333,1.914171673101115
Farsund,58.09178,6.79499,1.344861879571182
Flekkefjord,58.2975,6.6644,0.8842078241688092
Hægebostad,58.35,7.1833,0.22603659010340316
Kristiansand,58.1467,7.9956,1.9230208800283886
Kvinesdal,58.3167,6.9667,1.4789447741562725
Lindesnes,58.0833,7.2833,0.49803641690870837
Lyngdal,58.1333,7.0667,1.41949277390505
Mandal,58.0275,7.4536,1.1153009342935398
Marnardal,58.2667,7.5333,1.5533017138572647
Sirdal,58.85,6.9,-7.4755008739824245
Songdalen,58.2833,7.7167,0.9276773784445416
Søgne,58.0833,7.8167,0.8384647208981737
Vennesla,58.2667,7.9747,1.4630198277944664
Åseral,58.61865,7.42083,-0.15008908599674964
Bjerkreim,58.6458,6.0731,-1.2547772155939896
Bokn,59.217,5.45,0.4839749376722593
Eigersund,58.451,6.0048,0.7109170022377935
Finnøy,59.1667,5.8333,nan
Forsand,58.9078,6.238,2.129353874469687
Gjesdal,58.77,6.08,-0.9713345239499338
Haugesund,59.417,5.27952,0.43597611087734434
Hjelmeland,59.23,6.18,0.1537092519037857
Hå,58.6167,5.65,0.3471255603646253
Karmøy,59.2833,5.3,0.40837830117958296
Klepp,58.77,5.63,nan
Kvitsøy,59.0667,5.4167,nan
Lund,58.4667,6.55,2.2473058973935087
Randaberg,58.9833,5.6167,nan
Sandnes,58.8524,5.7352,nan
Sauda,59.65,6.35,0.15400523477755979
Sokndal,58.3467,6.2896,0.8762074288831063
Sola,58.8887,5.65,nan
Stavanger,58.969,5.7331,nan
Strand,59.0222,6.04,0.4832388030000405
Suldal,59.48625,6.25623,0.4912613070252938
Time,58.725,5.73,0.4047768307641202
Tysvær,59.4,5.5,0.9490834637948278
Vindafjord,59.6,5.95,-2.907609390376386
Askøy,60.4,5.0,0.4991423603083065
Austrheim,60.7773,4.93244,0.16516872830384188
